word,answer
possible (adjective),"ˈpɒs.ə.bəl
able to be done or achieved, or able to exist."
potato (noun),"pəˈteɪ.təʊ
a round vegetable that grows underground and has white flesh with light brown, red, or pink skin, or the plant on which these grow."
practise (verb),"ˈpræk.tɪs
to do or play something regularly or repeatedly in order to become skilled at it."
problem (noun),"ˈprɒb.ləm
a situation, person, or thing that needs attention and needs to be dealt with or solved."
put (verb),"pʊt
to move something or someone into the stated place, position, or direction."
question (noun),"ˈkwes.tʃən
a sentence or phrase used to find out information."
radio (noun),"ˈreɪ.di.əʊ
a piece of electronic equipment used for listening to radio broadcasts."
rain (verb),"reɪn
If it rains, water falls from the sky in small drops."
rain (noun),"reɪn
drops of water from clouds."
read (verb),"riːd
to look at words or symbols and understand what they mean."
reading (noun),"ˈriː.dɪŋ
the skill or activity of getting information from books."
ready (adjective),"ˈred.i
prepared and suitable for fast activity."
red (adjective),"red
of the colour of fresh blood."
remember (verb),"rɪˈmem.bər
to be able to bring back a piece of information into your mind, or to keep a piece of information in your memory."
restaurant (noun),"ˈres.tər.ɒnt
a place where meals are prepared and served to customers."
rice (noun),"raɪs
the small seeds of a particular type of grass, cooked, and eaten as food."
ride (verb),"raɪd
to sit on something such as a bicycle, motorbike, or horse and travel along on it controlling its movements."
right (adjective),"raɪt
correct."
river (noun),"ˈrɪv.ər
a natural wide flow of fresh water across the land into the sea, a lake, or another river."
road (noun),"rəʊd
a long, hard surface built for vehicles to travel along."
room (noun),"ruːm
a part of the inside of a building that is separated from other parts by walls, floor, and ceiling."
run (verb),"rʌn
(of people and some animals) to move along, faster than walking, by taking quick steps in which each foot is lifted before the next foot touches the ground."
sad (adjective),"sæd
unhappy or sorry."
safe (adjective),"seɪf
not in danger or likely to be harmed."
salt (noun),"sɒlt
a common white substance found in sea water and in the ground, used especially to add flavour to food or to preserve it."
same (adjective),"seɪm
exactly like another or each other."
sandwich (noun),"ˈsæn.wɪdʒ
two pieces of bread with food such as cheese, salad, or meat between them ."
saturday (noun),"ˈsæt.ə.deɪ
the day of the week after Friday and before Sunday."
say (verb),"seɪ
to pronounce words or sounds, to express a thought, opinion, or suggestion, or to state a fact or instruction."
school (noun),"skuːl
a place where children go to be educated."
sea (noun),"siː
the salty water that covers a large part of the surface of the earth, or a large area of salty water, smaller than an ocean, that is partly or completely surrounded by land."
second (ordinal number),"ˈsek.ənd
immediately after the first and before any others."
see (verb),"siː
to be conscious of what is around you by using your eyes."
send (verb),"send
to cause something to go from one place to another, especially by post or email."
sentence (noun),"ˈsen.təns
a group of words, usually containing a verb, that expresses a thought in the form of a statement, question, instruction, or exclamation and starts with a capital letter when written."
september (noun),"sepˈtem.bər
the ninth month of the year, after August and before October."
seven (number),"ˈsev.ən
the number 7."
seventeen (number),"ˌsev.ənˈtiːn
the number 17."
she (pronoun),"ʃiː
used as the subject of a verb to refer to a woman, girl, or female animal that has already been mentioned."
sheep (noun),"ʃiːp
a farm animal with thick wool that eats grass and is kept for its wool, skin, and meat."
shirt (noun),"ʃɜːt
a piece of clothing worn, especially by men, on the upper part of the body, made of light cloth like cotton and usually having a collar and buttons at the front."
shoe (noun),"ʃuː
one of a pair of coverings for your feet, usually made of a strong material such as leather, with a thick leather or plastic sole (= base) and usually a heel."
shop (noun),"ʃɒp
a place where you can buy goods or services."
shopping (noun),"ˈʃɒp.ɪŋ
the activity of buying things from shops."
short (adjective),"ʃɔːt
small in length, distance, or height."
show (verb),"ʃəʊ
to make it possible for something to be seen."
shower (noun),"ʃaʊər
a device that releases drops of water through a lot of very small holes and that you stand under to wash your whole body."
sing (verb),"sɪŋ
to make musical sounds with the voice, usually a tune with words."
sister (noun),"ˈsɪs.tər
a girl or woman who has the same parents as another person."
sit (verb),"sɪt
to (cause someone to) be in a position in which the lower part of the body is resting on a seat or other type of support, with the upper part of the body vertical."
six (number),"sɪks
the number 6."
sixteen (number),"ˌsɪkˈstiːn
the number 16."
skirt (noun),"skɜːt
a piece of clothing that hangs from the waist and covers some or all of the legs, usually worn by women and girls."
sleep (verb),"sliːp
to be in the state of rest when your eyes are closed, your body is not active, and your mind is unconscious."
slow (adjective),"sləʊ
moving, happening, or doing something without much speed."
small (adjective),"smɔːl
little in size or amount when compared with what is typical or average."
smoke (verb),"sməʊk
to breathe smoke into the mouth and usually lungs from a cigarette, pipe, etc.."
smoking (noun),"ˈsməʊ.kɪŋ
the action of smoking a cigarette, pipe, etc., or the activity of doing this regularly."
snow (noun),"snəʊ
the small, soft, white pieces of ice that sometimes fall from the sky when it is cold, or the white layer on the ground and other surfaces that it forms."
some (determiner),"sʌm
an amount or number of something that is not stated or not known; a part of something."
some (pronoun),"sʌm
an amount or number of something that is not stated or not known; a part of something."
something (pronoun),"ˈsʌm.θɪŋ
an object, situation, quality, or action that is not exactly known or stated."
sometimes (adverb),"ˈsʌm.taɪmz
on some occasions but not always or often."
son (noun),"sʌn
your male child."
soup (noun),"suːp
a usually hot, liquid food made from vegetables, meat, or fish."
speak (verb),"spiːk
to say words, to use the voice, or to have a conversation with someone."
sport (noun),"spɔːt
a game, competition, or activity needing physical effort and skill that is played or done according to rules, for enjoyment and/or as a job."
start (verb),"stɑːt
to begin doing something."
station (noun),"ˈsteɪ.ʃən
a building and the surrounding area where buses or trains stop for people to get on or off."
stay (verb),"steɪ
to not move away from or leave a place or situation."
stop (verb),"stɒp
to finish doing something that you were doing."
street (noun),"striːt
a road in a city or town that has buildings that are usually close together along one or both sides."
student (noun),"ˈstjuː.dənt
a person who is learning at a college or university."
study (verb),"ˈstʌd.i
to learn about a subject, especially in an educational course or by reading books."
sugar (noun),"ˈʃʊɡ.ər
a sweet substance especially from the plants sugar cane and sugar beet, used to make food and drinks sweet."
summer (noun),"ˈsʌm.ər
the season of the year between spring and autumn when the weather is warmest, lasting from June to September north of the equator and from December to March south of the equator."
sun (noun),"sʌn
the star that provides light and heat for the earth and around which the earth moves."
sunday (noun),"ˈsʌn.deɪ
the day of the week after Saturday and before Monday, when most people in Western countries do not go to work."
supermarket (noun),"ˈsuː.pəˌmɑː.kɪt
a large shop which sells most types of food and other goods needed in the home."
sweet (adjective),"swiːt
(especially of food or drink) having a taste similar to that of sugar; not bitter or salty."
swim (verb),"swɪm
to move through water by moving the body or parts of the body."
t-shirt (noun),"ˈtiː.ʃɜːt
a simple piece of clothing, usually with short sleeves and no collar, that covers the top part of the body."
table (noun),"ˈteɪ.bəl
a flat surface, usually supported by four legs, used for putting things on."
talk (verb),"tɔːk
to say words aloud; to speak to someone."
tall (adjective),"tɔːl
of more than average height, or of a particular height."
taxi (noun),"ˈtæk.si
a car with a driver who you pay to take you somewhere."
tea (noun),"tiː
(a drink made by pouring hot water onto) dried and cut leaves and sometimes flowers, especially the leaves of the tea plant."
teach (verb),"tiːtʃ
to give someone knowledge or to train someone; to instruct."
teacher (noun),"ˈtiː.tʃər
someone whose job is to teach in a school or college."
television (noun),"ˈtel.ɪ.vɪʒ.ən
a device shaped like a box with a screen that receives electrical signals and changes them into moving images and sound, or the method or business of sending images and sound by electrical signals."
tell (verb),"tel
to say something to someone, often giving them information or instructions."
ten (number),"ten
the number 10."
tennis (noun),"ˈten.ɪs
a game played between two or four people on a special playing area that involves hitting a small ball across a central net using a racket."
test (noun),"test
a way of discovering, by questions or practical activities, what someone knows, or what someone or something can do or is like."
than (preposition),"ðæn
used to join two parts of a comparison."
thanks (exclamation),"θæŋks
→ 
thank you ."
that (determiner),"ðæt
used to refer to a person, object, idea, etc. that is separated from the speaker by space or time."
the (determiner),"ðiː
used before nouns to refer to particular things or people that have already been talked about or are already known or that are in a situation where it is clear what is happening."
their (determiner),"ðeər
of or belonging to them."
them (pronoun),"ðem
used, usually as the object of a verb or preposition, to refer to people, things, animals, situations, or ideas that have already been mentioned."
then (adverb),"ðen
next or after that."
then (adverb),"ðen
(at) that time (in the past or in the future)."
there (adverb),"ðeər
(to, at, or in) that place."
they (pronoun),"ðeɪ
used as the subject of a verb to refer to people, animals, or things already mentioned or, more generally, to a group of people not clearly described."
thing (noun),"θɪŋ
used to refer in an approximate way to an object or to avoid naming it."
think (verb),"θɪŋk
to believe something or have an opinion or idea."
thirteen (number),"θɜːˈtiːn
the number 13."
this (determiner),"ðɪs
used for a person, object, idea, etc. to show which one is referred to."
three (number),"θriː
the number 3."
thursday (noun),"ˈθɜːz.deɪ
the day of the week after Wednesday and before Friday."
ticket (noun),"ˈtɪk.ɪt
a small piece of paper or card given to someone, usually to show that they have paid for an event, journey, or activity."
tired (adjective),"taɪəd
in need of rest or sleep."
to (preposition),"tuː
used before a verb to show that it is in the infinitive."
today (adverb),"təˈdeɪ
(on) the present day."
together (adverb),"təˈɡeð.ər
with each other."
toilet (noun),"ˈtɔɪ.lət
a bowl-shaped device with a seat that you sit on or stand near when emptying the body of urine or solid waste, or another device used for this purpose."
tomato (noun),"təˈmɑː.təʊ
a round, red fruit with a lot of seeds, eaten cooked or uncooked as a vegetable, for example in salads or sauces."
tomorrow (adverb),"təˈmɒr.əʊ
(on) the day after today."
tonight (adverb),"təˈnaɪt
(during) the night of the present day."
too (adverb),"tuː
more than is needed or wanted; more than is suitable or enough."
tooth (noun),"tuːθ
one of the hard, white objects in the mouth that are used for biting and chewing (= crushing food)."
town (noun),"taʊn
a place where people live and work, containing many houses, shops, places of work, places of entertainment, etc., and usually larger than a village but smaller than a city."
train (noun),"treɪn
a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods."
travel (verb),"ˈtræv.əl
to make a journey, usually over a long distance."
tree (noun),"triː
a tall plant that has a wooden trunk and branches that grow from its upper part."
trousers (noun),"ˈtraʊ.zəz
a piece of clothing that covers the lower part of the body from the waist to the feet, consisting of two cylinder-shaped parts, one for each leg, that are joined at the top."
tuesday (noun),"ˈtʃuːz.deɪ
the day of the week after Monday and before Wednesday."
tv (noun),"ˌtiːˈviː
abbreviation for television."
twelve (number),"twelv
the number 12."
twenty (number),"ˈtwen.ti
the number 20."
two (number),"tuː
the number 2."
under (preposition),"ˈʌn.dər
in or to a position below or lower than something else, often so that one thing covers the other."
understand (verb),"ˌʌn.dəˈstænd
to know the meaning of something that someone says."
university (noun),"ˌjuː.nɪˈvɜː.sə.ti
a place where people study for an undergraduate (= first) or postgraduate (= higher level) degree."
until (preposition),"ənˈtɪl
up to (the time that)."
us (pronoun),"ʌs
used as the object of a verb or a preposition to refer to a group that includes the speaker and at least one other person."
use (verb),"juːz
to put something such as a tool, skill, or building to a particular purpose."
vacation (noun),"veɪˈkeɪ.ʃən
a time when someone does not go to work or school but is free to do what they want, such as travel or relax."
vegetable (noun),"ˈvedʒ.tə.bəl
a plant, root, seed, or pod that is used as food, especially in dishes that are not sweet."
very (adverb),"ˈver.i
(used to add emphasis to an adjective or adverb) to a great degree or extremely."
village (noun),"ˈvɪl.ɪdʒ
a group of houses and other buildings that is smaller than a town, usually in the countryside."
visit (verb),"ˈvɪz.ɪt
to go to a place in order to look at it, or to a person in order to spend time with them."
wait (verb),"weɪt
to allow time to go by, especially while staying in one place without doing very much, until someone comes, until something that you are expecting happens or until you can do something."
waiter (noun),"ˈweɪ.tər
a man whose job is to bring the food to customers at their tables in a restaurant."
wake (verb),"weɪk
to (cause someone to) become awake and conscious after sleeping."
walk (verb),"wɔːk
to move along by putting one foot in front of the other, allowing each foot to touch the ground before lifting the next."
wall (noun),"wɔːl
a vertical structure, often made of stone or brick, that divides or surrounds something."
want (verb),"wɒnt
to wish for a particular thing or plan of action. ""Want"" is not used in polite requests."
warm (adjective),"wɔːm
having or producing a comfortably high temperature, although not hot."
wash (verb),"wɒʃ
to clean something using water."
watch (noun),"wɒtʃ
a small clock that is worn on a strap around the wrist or, sometimes, connected to a piece of clothing by a chain."
watch (verb),"wɒtʃ
to look at something for a period of time, especially something that is changing or moving."
water (noun),"ˈwɔː.tər
a clear liquid, without colour or taste, that falls from the sky as rain and is necessary for animal and plant life."
we (pronoun),"wiː
used as the subject of a verb to refer to a group including the speaker and at least one other person."
wear (verb),"weər
to have clothing, jewellery, etc. on your body."
weather (noun),"ˈweð.ər
the conditions in the air above the earth such as wind, rain, or temperature, especially at a particular time over a particular area."
website (noun),"ˈweb.saɪt
a set of pages of information on the internet about a particular subject, published by a single person or organization."
wednesday (noun),"ˈwenz.deɪ
the day of the week after Tuesday and before Thursday."
week (noun),"wiːk
a period of seven days, especially either from Monday to Sunday or from Sunday to Saturday."
weekend (noun),"ˌwiːkˈend
Saturday and Sunday, or Friday evening until Sunday night; the part of the week in which many people living in the West do not go to work."
well (adverb),"wel
in a good way, to a high or satisfactory standard."
well (adjective),"wel
healthy; not ill."
well (exclamation),"wel
used to introduce something you are going to say, often to show surprise, doubt, slight disagreement, or anger, or to continue a story."
what (determiner),"wɒt
used to ask for information about people or things."
when (adverb),"wen
at what time; at the time at which."
where (adverb),"weər
to, at, or in what place."
which (determiner),"wɪtʃ
(used in questions and structures in which there is a fixed or limited set of answers or possibilities) what one or ones."
white (adjective),"waɪt
of a colour like that of snow, milk, or bone."
who (pronoun),"huː
used especially in questions as the subject or object of a verb, when asking which person or people, or when asking what someone's name is."
why (adverb),"waɪ
for what reason."
wife (noun),"waɪf
the woman that you are married to."
wind (noun),"wɪnd
a current of air moving approximately horizontally, especially one strong enough to be felt."
window (noun),"ˈwɪn.dəʊ
a space usually filled with glass in the wall of a building or in a vehicle, to allow light and air in and to allow people inside the building to see out."
wine (noun),"waɪn
an alcoholic drink that is usually made from grapes, but can also be made from other fruits or flowers. It is made by fermenting the fruit with water and sugar."
winter (noun),"ˈwɪn.tər
the season between autumn and spring, lasting from November to March north of the equator and from May to September south of the equator, when the weather is coldest."
with (preposition),"wɪð
used to say that people or things are in a place together or are doing something together."
woman (noun),"ˈwʊm.ən
an adult female human being."
word (noun),"wɜːd
a single unit of language that has meaning and can be spoken or written."
work (noun),"wɜːk
an activity, such as a job, that a person uses physical or mental effort to do, usually for money."
world (noun),"wɜːld
the earth and all the people, places, and things on it."
write (verb),"raɪt
to make marks that represent letters, words, or numbers on a surface, such as paper or a computer screen, using a pen, pencil, or keyboard, or to use this method to record thoughts, facts, or messages."
wrong (adjective),"rɒŋ
not correct."
year (noun),"jɪər
a period of twelve months, especially from 1 January to 31 December."
yellow (noun),"ˈjel.əʊ
a colour like that of a lemon or gold or the sun."
yellow (adjective),"ˈjel.əʊ
of a colour like that of a lemon or gold or the sun."
yes (adverb),"jes
used to express willingness or agreement."
yesterday (adverb),"ˈjes.tə.deɪ
on the day before today."
you (pronoun),"juː
used to refer to the person or people being spoken or written to."
young (adjective),"jʌŋ
having lived or existed for only a short time and not old."
your (determiner),"jɔːr
belonging or relating to the person or group of people being spoken or written to."
