word,answer
debut (verb),"ˈdeɪ.bju
to perform or appear in public, or to be shown or introduced to the public, for the first time."
decision-making (noun),"dɪˈsɪʒ·ənˌmeɪ·kɪŋ
the process of making choices, esp. important choices."
deck (verb),"dek
to decorate or add something to something to make an effect."
deed (noun),"diːd
an intentional act, especially a very bad or very good one."
deep (noun),"diːp
the sea or the ocean."
default (noun),"dɪˈfɒlt
the thing that exists or happens if you do not change it intentionally by performing an action."
default (verb),"dɪˈfɒlt
to fail to do something, such as pay a debt, that you legally have to do."
defect (verb),"dɪˈfekt
to leave a country, political party, etc., especially in order to join an opposing one."
defender (noun),"dɪˈfen.dər
someone who protects a place against attack, or who believes in and supports a person, idea, plan, etc.."
defensive (adjective),"dɪˈfen.sɪv
used to protect someone or something against attack."
defensive (noun),"dɪˈfen.sɪv
ready to protect yourself because you are expecting to be criticized or attacked."
definite (noun),"ˈdef.ɪ.nət
something that is certain to happen."
deliberate (verb),"dɪˈlɪb.ə.reɪt
to think or talk seriously and carefully about something."
delicate (noun),"ˈdel.ɪ.kət
clothing that needs to be washed very carefully because it is easily damaged, for example underwear made of thin material."
delight (verb),"dɪˈlaɪt
to give someone great pleasure or satisfaction."
demon (noun),"ˈdiː.mən
an evil spirit."
denounce (verb),"dɪˈnaʊns
to criticize something or someone strongly and publicly."
dependent (noun),"dɪˈpen.dənt
US spelling of 
dependant ."
deploy (verb),"dɪˈplɔɪ
to use something or someone, especially in an effective way."
deployment (noun),"dɪˈplɔɪ.mənt
the use of something or someone in an effective way."
deposit (verb),"dɪˈpɒz.ɪt
to leave something somewhere."
descent (noun),"dɪˈsent
the state or fact of being related to a particular person or group of people who lived in the past."
desert (verb),"dɪˈzɜːt
to leave the armed forces without permission and with no intention of returning."
designate (verb),"ˈdez.ɪɡ.neɪt
to choose someone officially to do a particular job."
designate (adjective),"ˈdez.ɪɡ.nət
used after the title of a particular official job to refer to someone chosen to do that job, but who has not yet started doing it."
desktop (adjective),"ˈdesk.tɒp
able to fit on the top of a desk."
destination (adjective),"ˌdes.tɪˈneɪ.ʃən
worth making a special journey for."
destructive (adjective),"dɪˈstrʌk.tɪv
causing, or able to cause, damage."
detail (verb),"ˈdiː.teɪl
to describe something completely, giving all the facts."
detain (verb),"dɪˈteɪn
to force someone officially to stay in a place."
detection (noun),"dɪˈtek.ʃən
the fact of noticing or discovering something."
detention (noun),"dɪˈten.ʃən
the act of officially detaining someone."
devastate (verb),"ˈdev.ə.steɪt
to destroy a place or thing completely or cause great damage."
diary (noun),"ˈdaɪə.ri
a book in which you record your thoughts or feelings or what has happened each day."
dictate (noun),"ˈdɪk.teɪt
an order that should be obeyed, often one that you give to yourself."
dictator (noun),"dɪkˈteɪ.tər
a leader who has complete power in a country and has not been elected by the people."
die (noun),"daɪ
a shaped piece or mould (= hollow container) made of metal or other hard material, used to shape or put a pattern on metal or plastic."
diet (verb),"ˈdaɪ.ət
to limit the food and/or drink that you have, especially in order to lose weight."
diet (adjective),"ˈdaɪ.ət
Diet food or drink contains less sugar or fat than the usual type, and often contains an artificial sweetener."
dig (noun),"dɪɡ
a remark that is intended to criticize, embarrass, or make a joke about someone."
dip (noun),"dɪp
a cold, thick sauce that you eat by dipping pieces of uncooked vegetable or biscuits, etc. into it."
direct (adverb),"daɪˈrekt
without having to stop or change direction."
directly (conjunction),"daɪˈrekt.li
immediately after."
dirty (verb),"ˈdɜː.ti
to make something dirty."
dirty (adverb),"ˈdɜː.ti
very great/big."
disabled (noun),"dɪˈseɪ.bəld
disabled people as a group. This term is now considered offensive, and people usually prefer to say people with disabilities or disabled people.."
disadvantage (verb),"ˌdɪs.ədˈvɑːn.tɪdʒ
to cause someone or something to be less successful than most other people or things."
discard (verb),"dɪˈskɑːd
to throw something away or get rid of it because you no longer want or need it."
discard (noun),"dɪˈskɑːd
in a card game, a card that you have got rid of."
discharge (verb),"dɪsˈtʃɑːdʒ
to allow someone officially to leave somewhere, especially a hospital or a law court."
discharge (noun),"ˈdɪs.tʃɑːdʒ
official permission to leave the armed forces, a prison, or a hospital."
discipline (verb),"ˈdɪs.ə.plɪn
to punish someone."
disclosure (noun),"dɪˈskləʊ.ʒər
the act of making something known or the fact that is made known."
discount (verb),"dɪˈskaʊnt
to decide that something or someone is not worth considering or giving attention."
discourse (noun),"ˈdɪs.kɔːs
the use of language to communicate in speech or writing, or an example of this."
discourse (verb),"ˈdɪs.kɔːs
to talk or write about a subject, especially for a long time and in a way that suggests you know a lot about it."
dish (verb),"dɪʃ
to tell people unpleasant or shocking personal information about someone."
dispose (verb),"dɪˈspəʊz
to make someone feel a particular way towards someone or something."
distort (verb),"dɪˈstɔːt
to change the shape of something so that it looks strange or unnatural."
distress (verb),"dɪˈstres
to make someone feel very upset or worried."
divine (adjective),"dɪˈvaɪn
connected with a god, or like a god."
divine (verb),"dɪˈvaɪn
to guess something."
do (noun),"duː
a way of treating people."
doctor (verb),"ˈdɒk.tər
to change a document in order to deceive people."
doctrine (noun),"ˈdɒk.trɪn
a belief or set of beliefs, especially political or religious ones, that are taught and accepted by a particular group."
document (verb),"ˈdɒk.jə.ment
to record the details of an event, a process, etc.."
documentary (adjective),"ˌdɒk.jəˈmen.tər.i
in the form of documents."
documentation (noun),"ˌdɒk.jə.menˈteɪ.ʃən
pieces of paper containing official information."
dog (verb),"dɒɡ
to follow someone closely and continuously."
domestic (noun),"dəˈmes.tɪk
a fight or attack that happens in a home between people who know each other."
dose (verb),"dəʊs
to give someone a measured amount of medicine."
dot (verb),"dɒt
to put a dot or dots on something."
double (noun),"ˈdʌb.əl
a person who looks exactly the same as someone else."
double (adverb),"ˈdʌb.əl
in two parts or layers."
down (noun),"daʊn
small soft feathers, especially those from a young bird."
down (verb),"daʊn
to cause something or someone to fall to the ground."
downstairs (noun),"ˌdaʊnˈsteəz
the part of a building, especially a house, that is on the ground floor."
downstairs (adjective),"ˌdaʊnˈsteəz
on a lower floor of a building, especially the ground floor of a house."
downtown (noun),"ˌdaʊnˈtaʊn
the central part of a city."
draft (adjective),"drɑːft
A draft plan, document, etc. is in its first form, including the main points but not all the details."
draft (adjective),"drɑːft
(of drinks such as beer) stored in and served from large containers, especially barrels."
drag (noun),"dræɡ
something that is not convenient and is boring or unpleasant."
draw (noun),"drɔː
someone or something that a lot of people are interested in."
dream (adjective),"driːm
the perfect house, job, etc., that you want more than any other."
dress (adjective),"dres
used to refer to the type of suits, shirts, shoes, and other clothes that are worn at formal occasions."
drift (noun),"drɪft
the general meaning without the details."
drive (noun),"draɪv
used in the names of some roads, especially roads containing houses."
driving (adjective),"ˈdraɪ.vɪŋ
strong and powerful and therefore causing things to happen."
driving (noun),"ˈdraɪ.vɪŋ
the ability to drive a car, the activity of driving, or the way someone drives."
drug (verb),"drʌɡ
to give a person or animal a chemical that causes him, her, or it to lose feeling or become unconscious."
drum (verb),"drʌm
to hit a surface regularly and make a sound like a drum, or to make something do this."
drunk (verb),"drʌŋk
past participle of drink."
drunk (noun),"drʌŋk
a person who drinks large amounts of alcohol very often and is unable to stop."
dry (noun),"draɪ
a place where the conditions are not wet, especially when compared to somewhere where the conditions are wet."
dub (verb),"dʌb
to give something or someone a particular name, especially describing what you think of it, him, or her."
dub (noun),"dʌb
a style of music or poetry connected with reggae in which the main part of the tune is removed and various special effects are added."
due (adverb),"dʒuː
in a direction that is straight towards the north, south, east, or west."
due (noun),"dʒuː
said when you are praising someone for something good they have done, although you dislike other things about them."
dull (verb),"dʌl
to make something such as a feeling less sharp and strong, or to become less sharp and strong."
duo (noun),"ˈdʒuː.əʊ
two people, especially two singers, musicians, or other performers."
dust (verb),"dʌst
to use a cloth to remove dust from the surface of something."
earth (verb),"ɜːθ
to put an earth (= wire) between a piece of electrical equipment and the ground."
ease (verb),"iːz
to make or become less severe, difficult, unpleasant, painful, etc.."
ease (noun),"iːz
the quality of needing little effort or not being difficult."
edge (verb),"edʒ
to move slowly with gradual movements or in gradual stages, or to make someone or something move in this way."
edit (noun),"ˈed.ɪt
an act of making changes to a text or film, deciding what will be removed and what will be kept in, in order to prepare it for being printed or shown."
editorial (noun),"ˌed.ɪˈtɔː.ri.əl
an article in a newspaper that expresses the editor's (= the person in charge of the newspaper's) opinion on a subject of particular interest at the present time."
editorial (adjective),"ˌed.ɪˈtɔː.ri.əl
relating to the editor (= the person in charge) or editors of a newspaper, magazine, television programme, etc. and to the power to decide what is published or shown in it."
educator (noun),"ˈedʒ.u.keɪ.tər
a person who teaches people."
effect (verb),"ɪˈfekt
to achieve something and cause it to happen."
efficiency (noun),"ɪˈfɪʃ.ən.si
the quality of achieving the largest amount of useful work using as little energy, fuel, effort, etc. as possible."
ego (noun),"ˈiː.ɡəʊ
your idea or opinion of yourself, especially your feeling of your own importance and ability."
elaborate (verb),"iˈlæb.ə.reɪt
to add more information to or explain something that you have said."
elbow (verb),"ˈel.bəʊ
to push someone rudely with your elbows so that you can move or have more space."
elect (adjective),"iˈlekt
the person who has been voted to be president, prime minister, etc. but has not yet started work."
elect (noun),"iˈlekt
in the Bible, people who are chosen by God."
electoral (adjective),"iˈlek.tər.əl
relating to an election."
electric (noun),"iˈlek.trɪk
electricity."
elementary (adjective),"ˌel.ɪˈmen.tər.i
basic."
elevate (verb),"ˈel.ɪ.veɪt
to raise something or lift something up."
eleven (noun),"ɪˈlev.ən
a team of eleven players."
elite (adjective),"iˈliːt
belonging to the richest, most powerful, best-educated, or best-trained group in a society."
embark (verb),"ɪmˈbɑːk
to go onto a ship."
embed (verb),"ɪmˈbed
to fix something firmly into a substance."
emergence (noun),"ɪˈmɜː.dʒəns
the fact of something becoming known or starting to exist."
employ (noun),"ɪmˈplɔɪ
to be working for someone."
empower (verb),"ɪmˈpaʊər
to give someone official authority or the freedom to do something."
empty (noun),"ˈemp.ti
an empty bottle or other container, especially one that contained drink."
empty (verb),"ˈemp.ti
to remove everything from inside something."
enact (verb),"ɪˈnækt
to put something into action, especially to make something law."
encompass (verb),"ɪnˈkʌm.pəs
to include different types of things."
encounter (noun),"ɪnˈkaʊn.tər
a meeting, especially one that happens by chance."
encounter (verb),"ɪnˈkaʊn.tər
to meet someone unexpectedly."
endorsement (noun),"ɪnˈdɔːs.mənt
the act of saying that you approve of or support something or someone."
enforcement (noun),"ɪnˈfɔːs.mənt
the process of making people obey a law or rule, or making a particular situation happen or be accepted."
engage (verb),"ɪnˈɡeɪdʒ
to employ someone."
engagement (noun),"ɪnˈɡeɪdʒ.mənt
an agreement to marry someone."
engaging (adjective),"ɪnˈɡeɪ.dʒɪŋ
pleasant, attractive, and charming."
engineer (verb),"ˌen.dʒɪˈnɪər
to arrange cleverly and often secretly for something to happen, especially something that is to your advantage."
enrol (verb),"ɪnˈrəʊl
to put yourself or someone else onto the official list of members of a course, college, or group."
ensue (verb),"ɪnˈsjuː
to happen after something else, especially as a result of it."
enter (noun),"ˈen.tər
the key on a computer keyboard that is used to say that the words or numbers on the screen are correct, or to say that an instruction should be performed, or to move down a line on the screen."
entertaining (noun),"en.təˈteɪ.nɪŋ
the activity of inviting people to your home and giving them food and drink."
enthusiast (noun),"ɪnˈθjuː.zi.æst
a person who is very interested in and involved with a particular subject or activity."
entrepreneur (noun),"ˌɒn.trə.prəˈnɜːr
someone who starts their own business, especially when this involves seeing a new opportunity."
epidemic (adjective),"ˌep.ɪˈdem.ɪk
happening a lot and affecting many people."
epidemic (noun),"ˌep.ɪˈdem.ɪk
the appearance of a particular disease in a large number of people at the same time."
equal (verb),"ˈiː.kwəl
to be the same in value or amount as something else."
erect (verb),"ɪˈrekt
to build a building, wall, or other structure."
erect (adjective),"ɪˈrekt
in a position with your back and neck straight."
escalate (verb),"ˈes.kə.leɪt
to become or make something become greater or more serious."
essay (verb),"eˈseɪ
to try to do something."
essential (noun),"ɪˈsen.ʃəl
a basic thing that you cannot live without."
eternal (adjective),"ɪˈtɜː.nəl
lasting forever or for a very long time."
ethnic (noun),"ˈeθ.nɪk
an offensive word for a person belonging to an ethnic minority (= a group of people living in a country where most people are from a different group)."
evacuate (verb),"ɪˈvæk.ju.eɪt
to move people from a dangerous place to somewhere safe."
even (verb),"ˈiː.vən
to make two things equal."
even (adjective),"ˈiː.vən
flat and smooth, or on the same level."
evening (exclamation),"ˈiːv.nɪŋ
a friendly way of greeting someone when you meet them in the evening."
everyday (adjective),"ˈev.ri.deɪ
ordinary, typical, or usual."
evoke (verb),"ɪˈvəʊk
to make someone remember something or feel an emotion."
evolutionary (adjective),"ˌiː.vəˈluː.ʃən.ər.i
relating to the way in which living things develop over millions of years."
exact (verb),"ɪɡˈzækt
to demand and get something, sometimes using force or threats."
excellence (noun),"ˈek.səl.əns
the quality of being excellent."
exclusion (noun),"ɪkˈskluː.ʒən
the act of not allowing someone or something to take part in an activity or to enter a place."
exclusive (noun),"ɪkˈskluː.sɪv
a story that is published in one magazine, website, etc., and no others."
execution (noun),"ˌek.sɪˈkjuː.ʃən
the legal punishment of killing someone."
exert (verb),"ɪɡˈzɜːt
to use something such as authority, power, influence, etc. in order to make something happen."
exile (verb),"ˈek.saɪl
to send someone away from their own country, village, etc., especially for political reasons."
exit (verb),"ˈek.sɪt
to leave a place such as a building, room, or large vehicle."
exit (interjection),"ˈek.sɪt
an instruction written in a play meaning that a character leaves the stage."
experimental (adjective),"ɪkˌsper.ɪˈmen.təl
using new methods, ideas, substances, etc. that have not been tried before, usually in order to find out what effect they have."
expertise (noun),"ˌek.spɜːˈtiːz
a high level of knowledge or skill."
explicitly (adverb),"ɪkˈsplɪs.ɪt.li
in a way that is clear and exact."
exploit (noun),"ˈek.splɔɪt
something unusual, brave, or funny that someone has done."
exploitation (noun),"ˌek.splɔɪˈteɪ.ʃən
the use of something in order to get an advantage from it."
exploration (noun),"ˌek.spləˈreɪ.ʃən
the activity of searching and finding out about something."
expose (verb),"ɪkˈspəʊz
to remove what is covering something so that it can be seen."
express (adverb),"ɪkˈspres
using a service that does something faster than usual."
express (noun),"ɪkˈspres
a train or bus that takes less time to do a journey than other trains or buses."
express (adjective),"ɪkˈspres
moving or being sent fast."
extension (adjective),"ɪkˈsten.ʃən
intended to support students' learning by making them try different or more difficult things in addition to their basic work."
extensively (adverb),"ɪkˈsten.sɪv.li
in a way that covers a large area or has a great range."
extract (noun),"ˈek.strækt
a substance taken from a plant, flower, etc. and used especially in food or medicine."
extreme (noun),"ɪkˈstriːm
the largest possible amount or degree of something."
extremist (adjective),"ɪkˈstriː.mɪst
having or involving beliefs that most people think are unreasonable and unacceptable."
eye (verb),"aɪ
to look at someone or something with interest."
fabulous (adjective),"ˈfæb.jə.ləs
very good; excellent."
faction (noun),"ˈfæk.ʃən
a group within a larger group, especially one with slightly different ideas from the main group."
fade (noun),"feɪd
a gradual loss of colour or brightness, often until an image disappears."
fail (noun),"feɪl
an unsuccessful result in a course, test, or exam."
failed (adjective),"feɪld
having not succeeded."
fair (noun),"feər
a large public event where goods are bought and sold, usually from tables that have been specially arranged for the event, and where there is often entertainment."
familiar (noun),"fəˈmɪl.i.ər
a close friend, or a spirit in the shape of a cat, bird, or other animal that is the close companion of a witch."
fan (verb),"fæn
to wave a fan, or something that acts as a fan, in front of your face."
fancy (noun),"ˈfæn.si
something that you like very much for a short period."
fancy (adjective),"ˈfæn.si
decorative or complicated."
fare (verb),"feər
to succeed or be treated in the stated way."
farm (verb),"fɑːm
to use land for growing crops and/or keeping animals as a business."
fashion (verb),"ˈfæʃ.ən
to make something using your hands."
fast (verb),"fɑːst
to eat no food for a period of time."
fast (noun),"fɑːst
a period of time when you eat no food."
fat (noun),"fæt
the substance under the skin of humans and animals that stores energy and keeps them warm."
father (verb),"ˈfɑː.ðər
to become the father of a child by making a woman pregnant."
fault (verb),"fɒlt
to find a reason to criticize someone or something."
favour (verb),"ˈfeɪ.vər
to support or prefer one particular possibility."
feather (verb),"ˈfeð.ər
to turn oars (= poles with flat ends used to move a boat) so that the flat parts are horizontal above the water while you prepare for the next pull."
feed (noun),"fiːd
an occasion when a baby has something to eat or drink."
feeding (noun),"ˈfiː.dɪŋ
an occasion when a baby has something to eat or drink."
feel (noun),"fiːl
the way that something feels."
fellow (noun),"ˈfel.əʊ
a man, used especially in the past by people in a higher social class."
female (adjective),"ˈfiː.meɪl
belonging or relating to women."
feminist (adjective),"ˈfem.ɪ.nɪst
relating to feminism."
feminist (noun),"ˈfem.ɪ.nɪst
a person who believes in feminism, and tries to achieve change that helps women to get equal opportunities and treatment."
fence (verb),"fens
to fight as a sport with a long, thin sword."
fibre (noun),"ˈfaɪ.bər
any of the thread-like parts that form plant or artificial material and can be made into cloth."
field (verb),"fiːld
to catch or pick up the ball after it has been hit in a game such as cricket or baseball, and to try to prevent the other team from scoring."
file (verb),"faɪl
to store information in a careful and particular way."
fill (noun),"fɪl
someone's fill is as much as they want or can deal with."
find (noun),"faɪnd
a good or valuable thing or a special person that has been discovered but was not known about before."
finding (noun),"ˈfaɪn.dɪŋ
a piece of information that is discovered during an official examination of a problem, situation, or object."
finger (verb),"ˈfɪŋ.ɡər
to touch or feel something with your fingers."
firearm (noun),"ˈfaɪər.ɑːm
a gun that can be carried easily."
firm (verb),"fɜːm
to make soil harder by pressing on it."
fish (verb),"fɪʃ
to try to find something, using your fingers to look for it."
fit (noun),"fɪt
a sudden attack of illness when someone cannot control their movements and becomes unconscious."
fix (noun),"fɪks
a situation in which someone does something dishonest to make certain that a competition, race, or election is won by a particular person."
fixture (noun),"ˈfɪks.tʃər
a permanently fixed piece of furniture in a house, such as a bath, that would not be taken by someone when moving to a new home."
flag (verb),"flæɡ
to put a mark on something so it can be found easily among other similar things."
flame (verb),"fleɪm
to burn (more) brightly."
flash (adjective),"flæʃ
looking expensive in a way that attracts attention."
flat (adjective),"flæt
(in music) lower than a particular note or the correct note."
flavour (verb),"ˈfleɪ.vər
to give a particular taste to food or drink."
flaw (verb),"flɔː
to cause something to be not perfect."
fleet (adjective),"fliːt
able to run quickly."
float (noun),"fləʊt
a small amount of money kept by someone who works in a bar, etc., used for giving customers their change."
floor (verb),"flɔːr
to hit someone and cause them to fall."
flour (verb),"flaʊər
to put flour on a surface to prevent food from sticking."
flourish (noun),"ˈflʌr.ɪʃ
If you do something with a flourish, you do it with one big, noticeable movement."
flower (verb),"flaʊər
to develop completely and become obvious."
flying (noun),"ˈflaɪ.ɪŋ
travel by air."
focus (verb),"ˈfəʊ.kəs
If you focus a device such as a camera or microscope, or if it focuses, a device on the lens moves so that you can see a clear picture."
fold (noun),"fəʊld
a line or mark where paper, cloth, etc. was or is folded."
folding (adjective),"ˈfəʊl.dɪŋ
A folding chair, bed, bicycle, etc. can be folded into a smaller size to make it easier to store or carry.."
folk (adjective),"fəʊk
traditional to or typical of a particular group or country, especially one where people mainly live in the countryside, and usually passed on from parents to their children over a long period of time."
fond (noun),"fɒnd
small pieces of brown food that are left in a pan after cooking, often used for making sauces."
fool (adjective),"fuːl
silly."
foot (verb),"fʊt
to pay an amount of money."
footage (noun),"ˈfʊt.ɪdʒ
(a piece of) film especially one showing an event."
for (conjunction),"fɔːr
because; as."
forecast (verb),"ˈfɔː.kɑːst
to say what you expect to happen in the future."
forever (adjective),"fəˈre.vər
existing or happening for all time in the future."
forge (noun),"fɔːdʒ
a working area with a fire for heating metal until it is soft enough to be beaten into different shapes."
forge (verb),"fɔːdʒ
to make an illegal copy of something in order to deceive."
fork (verb),"fɔːk
If a road or river forks, it divides into two parts."
formal (noun),"ˈfɔː.məl
a dance at which women wear fashionable, expensive dresses and men wear tuxedos or similar clothes."
format (verb),"ˈfɔː.mæt
to organize or arrange text, especially on a computer, according to a chosen pattern."
forth (adverb),"fɔːθ
(from a place) out or away, or (from a point in time) forward."
forum (noun),"ˈfɔː.rəm
a situation or meeting in which people can talk about a problem or matter especially of public interest."
forward (verb),"ˈfɔː.wəd
to send a letter, etc., especially from someone's old address to their new address, or to send a letter, email, etc. that you have received to someone else."
forward (adjective),"ˈfɔː.wəd
towards the direction that is in front of you."
forward (noun),"ˈfɔː.wəd
in sports such as football, a player who is in an attacking position in a team."
fossil (noun),"ˈfɒs.əl
the shape of a bone, a shell, or a plant or animal that has been preserved in rock for a very long period."
foster (verb),"ˈfɒs.tər
to take care of a child, usually for a limited time, without being the child's legal parent."
foster (adjective),"ˈfɒs.tər
used to refer to someone or something connected with the care of children, usually for a limited time, by someone who is not the child's legal parent."
found (verb),"faʊnd
past simple and past participle of
find ."
founder (verb),"ˈfaʊn.dər
(especially of a boat) to fill with water and sink."
four (noun),"fɔːr
a team of four people in rowing, or the boat that they use."
fourth (noun),"fɔːθ
a 
quarter ."
fragment (verb),"fræɡˈment
to break something into small parts or to be broken up in this way."
fragment (noun),"ˈfræɡ.mənt
a small piece or a part, especially when broken from something whole."
frame (verb),"freɪm
to express something choosing your words carefully."
framework (noun),"ˈfreɪm.wɜːk
a supporting structure around which something can be built."
franchise (noun),"ˈfræn.tʃaɪz
a right to sell a company's products in a particular area using the company's name."
franchise (verb),"ˈfræn.tʃaɪz
to give or sell a franchise to someone."
frankly (adverb),"ˈfræŋ.kli
in an honest and direct way."
freeze (noun),"friːz
a period of extremely cold weather."
frequency (noun),"ˈfriː.kwən.si
the number of times something happens within a particular period, or the fact of something happening often or a large number or times."
frequent (verb),"frɪˈkwent
to be in or visit a particular place often."
friend (verb),"frend
to invite someone to be your friend on a social networking website."
friendly (noun),"ˈfrend.li
a game that is played for enjoyment and in order to practise, not with the aim of winning points as part of a serious competition."
front (verb),"frʌnt
If a building or area fronts (onto) a particular place, it is near it and faces it."
frozen (verb),"ˈfrəʊ.zən
past participle of
freeze ."
fruit (verb),"fruːt
When a plant fruits, it produces fruit."
fry (noun),"fraɪ
young, small fish."
fuel (verb),"ˈfjuː.əl
to supply a system with a substance that can be burned to provide heat or power."
full (noun),"fʊl
as much or as well as possible."
full (adverb),"fʊl
to understand a situation completely."
full-time (noun),"ˌfʊl ˈtaɪm
the end of a sports match."
function (verb),"ˈfʌŋk.ʃən
to work or operate."
fundraising (noun),"ˈfʌndˌreɪ.zɪŋ
the act of collecting or producing money for a particular purpose, especially for a charity."
funny (noun),"ˈfʌn.i
the series of drawings in a newspaper that tell a humorous story."
fur (verb),"fɜːr
If water pipes, kettles, etc. fur, a hard grey substance forms on the inside."
further (adjective),"ˈfɜː.ðər
at a greater distance."
gallon (noun),"ˈɡæl.ən
a unit for measuring volume."
game (adjective),"ɡeɪm
willing to do things that are new, difficult, or that involve risks."
game (verb),"ɡeɪm
to use the rules of a system in order to get what you want, in a way that is slightly dishonest."
gaming (noun),"ˈɡeɪ.mɪŋ
the risking of money in games of chance, especially at a casino."
garage (verb),"ˈɡær.ɑːʒ
to put or keep a vehicle in a garage."
gas (verb),"ɡæs
to kill or injure a person by making them breathe poisonous gas."
gather (noun),"ˈɡæð.ər
a small fold that has been sewn into cloth."
gay (noun),"ɡeɪ
a gay person, especially a man."
gender (verb),"ˈdʒen.dər
to give someone or something a particular gender, or to think of something as belonging to a particular gender."
general (noun),"ˈdʒen.ər.əl
an officer of very high rank, especially in the army."
generic (adjective),"dʒəˈner.ɪk
shared by, typical of, or relating to a whole group of similar things, rather than to any particular thing."
generic (noun),"dʒəˈner.ɪk
a product, especially a drug, that is no longer owned or legally controlled by a particular company."
genocide (noun),"ˈdʒen.ə.saɪd
the crime of intentionally destroying part or all of a national, ethnic, racial, or religious group, by killing people or by other methods."
genre (noun),"ˈʒɑ̃ː.rə
a style, especially in the arts, that involves a particular set of characteristics."
genre (adjective),"ˈʒɑ̃ː.rə
produced according to a particular model or style."
ghost (verb),"ɡəʊst
to write a book, article, etc. for another person to publish under their own name."
giant (adjective),"ˈdʒaɪ.ənt
extremely large."
gift (verb),"ɡɪft
to give something in an official or formal way."
gig (noun),"ɡɪɡ
a single performance by a musician or group of musicians, especially playing modern or pop music, or by a comedian (= a performer who makes people laugh, for example by telling jokes or funny stories)."
gig (verb),"ɡɪɡ
(of a musician or group of musicians) to perform gigs."
give (noun),"ɡɪv
the quality of stretching, bending, or breaking, or becoming less firm or tight, under pressure."
glass (verb),"ɡlɑːs
to attack someone with a broken bottle or glass."
glimpse (verb),"ɡlɪmps
to see something or someone for a very short time or only partly."
globe (noun),"ɡləʊb
the world."
glorious (adjective),"ˈɡlɔː.ri.əs
deserving great admiration, praise, and honour."
glory (noun),"ˈɡlɔː.ri
praise and thanks, especially as given to God."
glory (exclamation),"ˈɡlɔː.ri 
an expression of praise and thanks to God."
glove (verb),"ɡlʌv
to put gloves on your hands."
golf (verb),"ɡɒlf
to play golf."
goodbye (noun),"ɡʊdˈbaɪ
the words or actions that are used when someone leaves or is left."
goodness (exclamation),"ˈɡʊd.nəs
used to express any strong emotion, especially surprise."
goodness (noun),"ˈɡʊd.nəs
the part of something, especially of food, that is good for health."
goods (plural noun),"ɡʊdz
items for sale, or possessions that can be moved."
governance (noun),"ˈɡʌv.ən.əns
the way that organizations or countries are managed at the highest level, and the systems for doing this."
governor (noun),"ˈɡʌv.ən.ər
a person in charge of a particular political unit."
grab (noun),"ɡræb
a sudden attempt to hold, get, or take something."
grand (adjective),"ɡrænd
important and large in degree."
grand (noun),"ɡrænd
£1,000."
graphic (adjective),"ˈɡræf.ɪk
very clear and powerful."
grave (adjective),"ɡreɪv
seriously bad."
gravity (noun),"ˈɡræv.ə.ti
the force that attracts objects towards one another, especially the force that makes things fall to the ground."
great (noun),"ɡreɪt
a famous person in a particular area of activity."
greenhouse (noun),"ˈɡriːn.haʊs
a building with a roof and sides made of glass, used for growing plants that need warmth and protection."
grey (verb),"ɡreɪ
If a person or their hair greys, their hair becomes grey or white, usually because of age."
grid (noun),"ɡrɪd
a pattern or structure made from horizontal and vertical lines crossing each other to form squares."
grief (noun),"ɡriːf
very great sadness, especially at the death of someone."
grind (noun),"ɡraɪnd
the size of grains in a substance that has been ground, especially coffee."
grind (verb),"ɡraɪnd
to make something into small pieces or a powder by pressing between hard surfaces."
grip (noun),"ɡrɪp
control over something or someone."
grocery (noun),"ˈɡrəʊ.sər.i
a grocer's."
ground (verb),"ɡraʊnd
past simple and past participle of
grind ."
guarantee (verb),"ˌɡær.ənˈtiː
If a product is guaranteed, the company that made it promises to repair or change it if a fault develops within a particular period of time."
guerrilla (noun),"ɡəˈrɪl.ə
a member of an unofficial military group that is trying to change the government by making sudden, unexpected attacks on the official army forces."
guerrilla (adjective),"ɡəˈrɪl.ə
using unusual methods to create or get attention for your ideas, art, products, etc., usually ones that cost little money and involve using public spaces."
guest (verb),"ɡest
If a person, especially an entertainer, guests on a programme or show, they are invited to appear or perform on it."
guide (verb),"ɡaɪd
to show someone how to do something difficult."
gun (verb),"ɡʌn
to make an engine operate at a higher speed."
gut (verb),"ɡʌt
to destroy the inside of a building completely, usually by fire."
gut (noun),"ɡʌt
the long tube in the body of a person or animal, through which food moves during the process of digesting food."
gym (noun),"dʒɪm
a place or club where you can go to exercise using machines, weights, and other equipment."
half (noun),"hɑːf
either of two periods of time into which a game is divided."
halfway (adverb),"ˌhɑːfˈweɪ
not very, but enough to be satisfactory."
halfway (adjective),"ˌhɑːfˈweɪ
in the middle of something, or at a place that is equally far from two other places."
halt (verb),"hɒlt
to (cause to) stop moving or doing something or happening."
halt (noun),"hɒlt
an occasion when something stops moving or happening."
handful (noun),"ˈhænd.fʊl
an amount of something that can be held in one hand."
handling (noun),"ˈhænd.lɪŋ
the way that someone deals with a situation or person."
hang (noun),"hæŋ
to learn how to do something, especially if it is not obvious or simple."
happen (adverb),"ˈhæp.ən
perhaps."
harbour (verb),"ˈhɑː.bər
to think about or feel something, usually over a long period."
harvest (verb),"ˈhɑː.vɪst
to pick and collect crops, or to collect plants, animals, or fish to eat."
haunt (noun),"hɔːnt
a place often visited."
