word,answer
king (noun),"kɪŋ
(the title of) a male ruler of a country, who holds this position because of his royal birth."
kiss (verb),"kɪs
to touch with your lips, especially as a greeting, or to press your mouth onto another person's mouth in a sexual way."
kiss (noun),"kɪs
an act of kissing someone."
lake (noun),"leɪk
a large area of water surrounded by land and not connected to the sea except by rivers or streams."
lamp (noun),"læmp
a device for giving light, especially one that has a covering or is contained within something."
laptop (noun),"ˈlæp.tɒp
a computer that is small enough to be carried around easily and is flat when closed."
large (adjective),"lɑːdʒ
big in size or amount."
last (adjective),"lɑːst
(the person or thing) after everyone or everything else."
later (adverb),"ˈleɪ.tər
at a time in the future or after the time you have mentioned."
latest (adjective),"ˈleɪ.tɪst
newest or most recent or modern."
laugh (verb),"lɑːf
to smile while making sounds with your voice that show you think something is funny or you are happy."
lazy (adjective),"ˈleɪ.zi
not willing to work or use any effort."
leather (noun),"ˈleð.ər
animal skin treated in order to preserve it, and used to make shoes, bags, clothes, equipment, etc.."
left (adjective),"left
on or towards the side of your body that is to the west when you are facing north."
left (noun),"left
the left side."
lemon (noun),"ˈlem.ən
an oval fruit that has a thick, yellow skin and sour juice, or the small tree on which this fruit grows."
lend (verb),"lend
to give something to someone for a short period of time, expecting it to be given back."
less (determiner),"les
a smaller amount (of), or to a smaller degree."
library (noun),"ˈlaɪ.brər.i
a building, room, or organization that has a collection of books, documents, music, and sometimes things such as tools or artwork, for people to borrow, usually without payment."
licence (noun),"ˈlaɪ.səns
an official document that gives you permission to own, do, or use something, usually after you have paid money and/or taken a test."
lie (verb),"laɪ
to be in or move into a horizontal position on a surface."
lift (noun),"lɪft
a device like a box that moves up and down, carrying people or goods from one floor of a building to another or taking people up and down underground in a mine."
light (adjective),"laɪt
not weighing a lot."
like (preposition),"laɪk
similar to; in the same way or manner as."
line (noun),"laɪn
a long, thin mark on the surface of something."
lion (noun),"ˈlaɪ.ən
a large wild animal of the cat family with yellowish-brown fur that lives in Africa and southern Asia."
list (noun),"lɪst
a record of short pieces of information, such as people's names, usually written or printed with a single thing on each line and often ordered in a way that makes a particular thing easy to find."
litre (noun),"ˈliː.tər
a unit for measuring the volume of a liquid or a gas, equal to 1,000 cubic centimetres."
little (adverb),"ˈlɪt.əl
slightly."
long (adverb),"lɒŋ
used to mean ""(for) a long time"", especially in questions and negative sentences."
lose (verb),"luːz
to no longer have something because you do not know where it is."
lost (adjective),"lɒst
not knowing where you are and how to get to a place."
loud (adjective),"laʊd
making a lot of noise."
lovely (adjective),"ˈlʌv.li
pleasant or enjoyable."
luck (noun),"lʌk
the force that causes things, especially good things, to happen to you by chance and not as a result of your own efforts or abilities."
lucky (adjective),"ˈlʌk.i
having good things happen to you by chance."
machine (noun),"məˈʃiːn
a piece of equipment with several moving parts that uses power to do a particular type of work."
magazine (noun),"ˌmæɡ.əˈziːn
a type of thin book with large pages and a paper cover that contains articles and photographs and is published every week or month."
magic (adjective),"ˈmædʒ.ɪk
with special powers."
magic (noun),"ˈmædʒ.ɪk
the use of special powers to make things happen that would usually be impossible, such as in stories for children."
mail (noun),"meɪl
the letters, etc. that are sent to or from people, or the system for sending letters, etc. from place to place."
manager (noun),"ˈmæn.ɪ.dʒər
the person who is responsible for managing an organization."
map (noun),"mæp
a drawing of the earth's surface, or part of that surface, showing the shape and position of different countries, political borders, natural features such as rivers and mountains, and artificial features such as roads and buildings."
married (adjective),"ˈmær.id
having a wife or husband."
match (noun),"mætʃ
a sports competition or event in which two people or teams compete against each other."
mathematics (noun),"ˌmæθˈmæt.ɪks
the study of numbers, shapes, and space using reason and usually a special system of symbols and rules for organizing them."
may (modal verb),"meɪ
used to express possibility."
maybe (adverb),"ˈmeɪ.bi
used to show that something is possible or that something might be true."
mean (verb),"miːn
to express or represent something such as an idea, thought, or fact."
mechanic (noun),"məˈkæn.ɪk
someone whose job is repairing the engines of vehicles and other machines."
meeting (noun),"ˈmiː.tɪŋ
a planned occasion when people come together, either in person or online (= using the internet), to discuss something."
member (noun),"ˈmem.bər
a person, animal, or thing that is part of a group."
menu (noun),"ˈmen.juː
a list of the food that you can eat in a restaurant."
metre (noun),"ˈmiː.tər
a unit of measurement equal to 100 centimetres."
middle (noun),"ˈmɪd.əl
the central point, position, or part."
midnight (noun),"ˈmɪd.naɪt
twelve o'clock in the middle of the night."
million (number),"ˈmɪl.jən
the number 1,000,000."
mind (verb),"maɪnd
(used in questions and negatives) to be annoyed or worried by something."
mine (pronoun),"maɪn
the one(s) belonging to or connected with me."
mirror (noun),"ˈmɪr.ər
a piece of glass with a shiny, metal-covered back that reflects light, producing an image of whatever is in front of it."
missing (adjective),"ˈmɪs.ɪŋ
Someone who is missing has disappeared."
mistake (noun),"mɪˈsteɪk
an action, decision, or judgment that produces an unwanted or unintentional result."
mix (verb),"mɪks
to (cause different substances to) combine, so that the result cannot easily be separated into its parts."
modern (adjective),"ˈmɒd.ən
designed and made using the most recent ideas and methods."
moment (noun),"ˈməʊ.mənt
a very short period of time."
monkey (noun),"ˈmʌŋ.ki
an animal that lives in hot countries, has a long tail, and climbs trees. Monkeys are primates (= the group of animals that are most like humans) .."
moon (noun),"muːn
the round object that moves in the sky around the earth and can be seen at night."
mosque (noun),"mɒsk
a building for Islamic religious activities and worship."
most (determiner),"məʊst
the biggest number or amount of; more than anything or anyone else."
motorcycle (noun),"ˈməʊ.təˌsaɪ.kəl
a vehicle with two wheels and an engine."
mountain (noun),"ˈmaʊn.tɪn
a raised part of the earth's surface, much larger than a hill, the top of which might be covered in snow."
mouse (noun),"maʊs
a small mammal with short fur, a pointed face, and a long tail."
move (verb),"muːv
to (cause to) change position."
musical (adjective),"ˈmjuː.zɪ.kəl
related to or connected with music."
must (modal verb),"mʌst
used to show that it is necessary or very important that something happens in the present or future."
myself (pronoun),"maɪˈself
used when the subject of the verb is ""I"" and the object is the same person."
national (adjective),"ˈnæʃ.ən.əl
relating to or typical of a whole country and its people, rather than to part of that country or to other countries."
nature (noun),"ˈneɪ.tʃər
all the animals, plants, rocks, etc. in the world and all the features, forces, and processes that happen or exist independently of people, such as the weather, the sea, mountains, the production of young animals or plants, and growth."
nearly (adverb),"ˈnɪə.li
almost, or not completely."
neck (noun),"nek
the part of the body that joins the head to the shoulders."
neighbour (noun),"ˈneɪ.bər
someone who lives very close to you."
news (noun),"njuːz
information or reports about recent events."
next (adverb),"nekst
immediately after."
ninety (number),"ˈnaɪn.ti
the number 90."
no one (pronoun),"ˈnəʊ wʌn
no person."
nobody (pronoun),"ˈnəʊ.bə.di
not anyone."
noisy (adjective),"ˈnɔɪ.zi
making a lot of noise."
noon (noun),"nuːn
twelve o'clock in the middle of the day, or about that time."
normal (adjective),"ˈnɔː.məl
ordinary or usual; the same as would be expected."
north (adjective),"nɔːθ
in or forming the north part of something."
north (noun),"nɔːθ
the direction that goes towards the part of the earth above the equator, opposite to the south, or the part of an area or country that is in this direction."
north (adverb),"nɔːθ
towards the north."
notebook (noun),"ˈnəʊt.bʊk
a book of plain paper or paper with lines, for writing on."
nothing (pronoun),"ˈnʌθ.ɪŋ
not anything."
notice (noun),"ˈnəʊ.tɪs
(a board, piece of paper, etc. containing) information or instructions."
nurse (noun),"nɜːs
(the title given to) a person whose job is to care for people who are ill or injured, especially in a hospital."
occupation (noun),"ˌɒk.jəˈpeɪ.ʃən
a person's job."
ocean (noun),"ˈəʊ.ʃən
a very large area of sea."
offer (verb),"ˈɒf.ər
to ask someone if they would like to have something or if they would like you to do something."
offer (noun),"ˈɒf.ər
the act of asking if someone would like to have something or if they would like you to do something."
office (noun),"ˈɒf.ɪs
a room or part of a building in which people work, especially sitting at tables with computers, phones, etc., usually as a part of a business or other organization."
ok (adverb),"ˌəʊˈkeɪ
in a satisfactory way."
ok (adjective),"ˌəʊˈkeɪ
agreed or acceptable."
on (adverb),"ɒn
on your body or someone's body."
once (adverb),"wʌns
one single time."
one (pronoun),"wʌn
used to refer to a particular thing or person within a group or range of things or people that are possible or available."
onion (noun),"ˈʌn.jən
a vegetable with a strong smell and flavour, made up of several layers surrounding each other tightly in a round shape, usually brown or red on the outside and white inside."
online (adverb),"ˌɒnˈlaɪn
bought, used, etc. using the internet."
online (adjective),"ˈɒn.laɪn
Online products, services, or information can be bought or used on the internet."
open (adjective),"ˈəʊ.pən
not closed or fastened."
opera (noun),"ˈɒp.ər.ə
a musical play in which most of the words are sung, or plays and music of this type."
opposite (preposition),"ˈɒp.ə.zɪt
in a position facing someone or something but on the other side."
order (noun),"ˈɔː.dər
a request to make, supply, or deliver food or goods."
order (verb),"ˈɔː.dər
to ask for something to be made, supplied, or delivered, especially in a restaurant or shop."
other (pronoun),"ˈʌð.ər
the second of two things or people, or the thing or person that is left in a group or set of things."
ours (pronoun),"aʊəz
the one(s) belonging to or connected with the person who is speaking and one or more other people."
ourselves (pronoun),"ˌaʊəˈselvz
used when the subject of the verb is ""we"" or the speaker and one or more others, and the object is the same group of people."
outside (adverb),"ˌaʊtˈsaɪd
not in a particular building or room, but near it."
own (determiner),"əʊn
belonging to or done by a particular person or thing."
pack (verb),"pæk
to put something into a bag, box, etc.."
pain (noun),"peɪn
a feeling of physical suffering caused by injury or illness."
paint (verb),"peɪnt
to cover a surface with paint."
painter (noun),"ˈpeɪn.tər
someone who paints pictures."
painting (noun),"ˈpeɪn.tɪŋ
a picture made using paint."
pair (noun),"peər
two things of the same appearance and size that are intended to be used together, or something that consists of two parts joined together."
park (verb),"pɑːk
to put a vehicle in a place where it can stay for a period of time, usually while you leave it."
part (noun),"pɑːt
some but not all of a thing."
passenger (noun),"ˈpæs.ən.dʒər
a person who is travelling in a vehicle but is not driving it, flying it, or working on it."
passport (noun),"ˈpɑːs.pɔːt
an official document containing personal information and usually a photograph that allows a person to travel to foreign countries and to prove who they are."
past (preposition),"pɑːst
in or to a position that is further than a particular point."
path (noun),"pɑːθ
a route or track between one place and another, or the direction in which something is moving."
pepper (noun),"ˈpep.ər
a grey or white powder produced by crushing dry peppercorns, used to give a spicy, hot taste to food."
per (preposition),"pɜːr
used when expressing rates, prices, or measurements to mean ""for each""."
perfect (adjective),"ˈpɜː.fekt
complete and correct in every way, of the best possible type or without fault."
perhaps (adverb),"pəˈhæps
used to show that something is possible or that you are not certain about something."
petrol (noun),"ˈpet.rəl
a liquid obtained from petroleum, used especially as a fuel for cars and other vehicles."
photograph (noun),"ˈfəʊ.tə.ɡrɑːf
a picture produced using a camera."
photographer (noun),"fəˈtɒɡ.rə.fər
a person who takes photographs, either as a job or hobby."
photography (noun),"fəˈtɒɡ.rə.fi
the activity or job of taking photographs or filming."
physics (noun),"ˈfɪz.ɪks
the scientific study of matter and energy and the effect that they have on each other."
piano (noun),"piˈæn.əʊ
a large musical instrument with a row of black and white keys that are pressed to play notes."
piece (noun),"piːs
a part of something."
pilot (noun),"ˈpaɪ.lət
a person who flies an aircraft."
pink (adjective),"pɪŋk
of a pale red colour."
pink (noun),"pɪŋk
a pale red colour."
plan (noun),"plæn
a set of decisions about how to do something in the future."
plastic (noun),"ˈplæs.tɪk
an artificial substance that can be shaped when soft into many different forms and has many different uses."
plastic (adjective),"ˈplæs.tɪk
made of plastic."
play (noun),"pleɪ
a piece of writing that is intended to be acted in a theatre or on radio or television."
pleasant (adjective),"ˈplez.ənt
enjoyable, attractive, friendly, or easy to like."
pleased (adjective),"pliːzd
happy or satisfied."
plus (preposition),"plʌs
added to."
pocket (noun),"ˈpɒk.ɪt
a small bag for carrying things in, made of cloth and sewn into the inside or onto the outside of a piece of clothing."
point (verb),"pɔɪnt
to direct other people's attention to something by holding out your finger towards it."
police (noun),"pəˈliːs
the official organization that is responsible for protecting people and property, making people obey the law, finding out about and solving crime, and catching people who have committed a crime."
policeman (noun),"pəˈliːs.mən
a male member of a police force."
polite (adjective),"pəˈlaɪt
behaving in a way that is socially correct and shows understanding of and care for other people's feelings."
pop (noun),"pɒp
modern popular music, usually with a strong beat, created with electrical or electronic equipment, and easy to listen to and remember."
popular (adjective),"ˈpɒp.jə.lər
liked, enjoyed, or supported by many people."
possibly (adverb),"ˈpɒs.ə.bli
used when something is not certain."
post (verb),"pəʊst
to send a letter or parcel by post."
post (noun),"pəʊst
letters, etc. that are delivered to homes or places of work."
poster (noun),"ˈpəʊ.stər
a large printed picture, photograph, or notice that you stick or pin to a wall or board, usually for decoration or to advertise something."
pound (noun),"paʊnd
the standard unit of money used in the UK and some other countries."
pray (verb),"preɪ
to speak to a god either privately or in a religious ceremony in order to express love, admiration, or thanks or in order to ask for something."
prefer (verb),"prɪˈfɜːr
to like, choose, or want one thing rather than another."
prepare (verb),"prɪˈpeər
to make or get something or someone ready for something that will happen in the future."
present (noun),"ˈprez.ənt
something that you are given, without asking for it, on a special occasion, especially to show friendship, or to say thank you."
president (noun),"ˈprez.ɪ.dənt
(the title given to) the person who has the highest political position in a country that is a republic and who, in some of these countries, is the leader of the government."
pretty (adjective),"ˈprɪt.i
pleasant to look at, or (especially of girls or women or things relating to them) attractive or pleasant in a delicate way."
price (noun),"praɪs
the amount of money for which something is sold."
principal (noun),"ˈprɪn.sə.pəl
the person in charge of a school ."
print (verb),"prɪnt
to produce writing or images on paper or other material with a machine."
printer (noun),"ˈprɪn.tər
a machine that is connected to a computer and prints onto paper using ink."
prize (noun),"praɪz
something valuable, such as an amount of money, that is given to someone who succeeds in a competition or game or that is given to someone as a reward for doing very good work."
probably (adverb),"ˈprɒb.ə.bli
used to mean that something is very likely."
program (noun),"ˈprəʊ.ɡræm
a series of instructions that can be put into a computer in order to make it perform an operation."
programme (noun),"ˈprəʊ.ɡræm
a broadcast on television or radio."
pub (noun),"pʌb
a place, especially in Great Britain or Ireland, where alcoholic drinks can be bought and drunk and where food is often available."
pull (verb),"pʊl
to move something towards yourself, sometimes with great physical effort."
pupil (noun),"ˈpjuː.pəl
a person, especially a child at school, who is being taught."
purple (noun),"ˈpɜː.pəl
a dark reddish-blue colour."
purple (adjective),"ˈpɜː.pəl
of a dark reddish-blue colour."
push (verb),"pʊʃ
to use physical pressure or force, especially with your hands, in order to move something into a different position, usually one that is further away from you."
quarter (noun),"ˈkwɔː.tər
one of four equal or almost equal parts of something; ¼."
queen (noun),"kwiːn
a woman who rules a country because she has been born into a royal family, or a woman who is married to a king."
quick (adjective),"kwɪk
happening or done with great speed, or lasting only a short time."
quickly (adverb),"ˈkwɪk.li
at a fast speed."
quiet (adjective),"ˈkwaɪ.ət
making very little noise."
quite (adverb),"kwaɪt
a little or a lot but not completely."
race (noun),"reɪs
a competition in which all the competitors try to be the fastest and to finish first."
railway (noun),"ˈreɪl.weɪ
the metal tracks on which trains run."
rat (noun),"ræt
a small rodent, larger than a mouse, that has a long tail and is considered to be harmful."
real (adjective),"rɪəl
existing in fact and not imaginary."
really (exclamation),"ˈrɪə.li
used to express interest, surprise, or anger."
reason (noun),"ˈriː.zən
the cause of an event or situation or something that provides an excuse or explanation."
receipt (noun),"rɪˈsiːt
something such as a piece of paper or message proving that money, goods, or information have been received."
receive (verb),"rɪˈsiːv
to get or be given something."
record (verb),"rɪˈkɔːd
to store sounds or moving pictures using electronic equipment so that they can be heard or seen later."
red (noun),"red
the colour of fresh blood."
rent (verb),"rent
to pay or receive a fixed amount of money for the use of a room, house, car, television, etc.."
rent (noun),"rent
a fixed amount of money that you pay regularly for the use of a room, house, car, television, etc. that someone else owns."
repair (verb),"rɪˈpeər
to put something that is damaged, broken, or not working correctly, back into good condition or make it work again."
repeat (verb),"rɪˈpiːt
to say or tell people something more than once."
report (noun),"rɪˈpɔːt
a teacher's written statement to parents about a child's ability and performance at school."
rest (noun),"rest
the other things, people, or parts that remain or that have not been mentioned."
return (verb),"rɪˈtɜːn
to come or go back to a previous place."
rich (adjective),"rɪtʃ
having a lot of money or valuable possessions."
right (adverb),"raɪt
on or towards the side of your body that is to the east when you are facing north."
right (noun),"raɪt
the right side."
right (exclamation),"raɪt
used to express agreement with someone or to show that you have understood what someone has said."
ring (verb),"rɪŋ
to make a phone call to someone."
roof (noun),"ruːf
the covering that forms the top of a building, vehicle, etc.."
round (adjective),"raʊnd
shaped like a ball or circle, or curved."
round (preposition),"raʊnd
in a circular direction or position; around."
rugby (noun),"ˈrʌɡ.bi
a sport where two teams try to score points by carrying an oval ball across a particular line or kicking it over and between an H-shaped set of posts."
runner (noun),"ˈrʌn.ər
someone who runs, especially in competitions."
running (noun),"ˈrʌn.ɪŋ
the activity of going somewhere quickly on foot, as a sport or for pleasure."
sailing (noun),"ˈseɪ.lɪŋ
the sport or activity of using boats with sails."
salad (noun),"ˈsæl.əd
a mixture of uncooked vegetables, usually including lettuce, eaten either as a separate dish or with other food."
same (pronoun),"seɪm
exactly like."
sauce (noun),"sɔːs
a thick liquid eaten with food to add flavour."
science (noun),"ˈsaɪ.əns
(knowledge from) the careful study of the structure and behaviour of the physical world, especially by watching, measuring, and doing experiments, and the development of theories to describe the results of these activities."
screen (noun),"skriːn
a flat surface in a cinema, on a television, or as part of a computer, on which pictures or words are shown."
seat (noun),"siːt
a piece of furniture or part of a train, plane, etc. that has been designed for someone to sit on."
second (noun),"ˈsek.ənd
a short unit of time that is equal to a 60th of a minute."
secretary (noun),"ˈsek.rə.tər.i
someone who works in an office, writing letters, making phone calls, and arranging meetings for a person or for an organization."
sell (verb),"sel
to give something to someone else in return for money."
serve (verb),"sɜːv
to provide food or drinks."
set (noun),"set
a group of similar things that belong together in some way."
seventy (number),"ˈsev.ən.ti
the number 70."
several (determiner),"ˈsev.ər.əl
some; an amount that is not exact but is fewer than many."
shame (noun),"ʃeɪm
If something is described as a shame, it is disappointing or not satisfactory."
share (verb),"ʃeər
to have or use something at the same time as someone else."
sheet (noun),"ʃiːt
a large piece of thin cloth used on a bed for sleeping on or under."
shelf (noun),"ʃelf
a long, flat board fixed horizontally, usually against a wall or inside a cupboard so that objects can be stored on it."
ship (noun),"ʃɪp
a large boat for travelling on water, especially across the sea."
should (modal verb),"ʃʊd
used to say or ask what is the correct or best thing to do."
shout (verb),"ʃaʊt
to speak with a very loud voice, often as loud as possible, usually when you want to make yourself heard in noisy situations, or when the person you are talking to is a long way away or cannot hear very well."
show (noun),"ʃəʊ
a theatre performance or a television or radio programme that is entertaining rather than serious."
shut (verb),"ʃʌt
to (cause to) close something."
sick (adjective),"sɪk
physically or mentally ill; not well or healthy."
side (noun),"saɪd
a flat outer surface of an object, especially one that is not the top, the bottom, the front, or the back."
sign (noun),"saɪn
a notice giving information, directions, a warning, etc.."
silver (noun),"ˈsɪl.vər
a chemical element that is a valuable shiny, white metal, used for making cutlery (= knives, spoons, etc.), jewellery, coins, and decorative objects."
silver (adjective),"ˈsɪl.vər
made of silver, or of the colour of silver."
simple (adjective),"ˈsɪm.pəl
easy to understand or do; not difficult."
since (preposition),"sɪns
from a particular time in the past until a later time, or until now."
singer (noun),"ˈsɪŋ.ər
a person who sings."
singing (noun),"ˈsɪŋ.ɪŋ
the activity of making musical sounds with the voice, usually a tune with words."
sink (noun),"sɪŋk
a bowl that is attached to the wall in a kitchen or bathroom in which you wash dishes or your hands, etc.."
sixty (number),"ˈsɪk.sti
the number 60."
size (noun),"saɪz
how large or small something or someone is."
skiing (noun),"ˈskiː.ɪŋ
the activity or sport of moving on skis."
sky (noun),"skaɪ
the area above the earth, in which clouds, the sun, etc. can be seen."
slice (noun),"slaɪs
a flat, often thin, piece of food that has been cut from a larger piece."
slowly (adverb),"ˈsləʊ.li
at a slow speed."
snake (noun),"sneɪk
a reptile with a long body and no legs."
snow (verb),"snəʊ
If it snows, snow falls from the sky."
so (conjunction),"səʊ
used at the beginning of a sentence to connect it with something that has been said or has happened previously."
so (adverb),"səʊ
very, extremely, or to such a degree."
soap (noun),"səʊp
a substance used for washing the body or other things."
soccer (noun),"ˈsɒk.ər
a game played between two teams of eleven people, where each team tries to win by kicking a ball into the other team's goal."
sock (noun),"sɒk
a piece of clothing made from soft material that covers your foot and the lower part of your leg."
soft (adjective),"sɒft
not hard or firm."
software (noun),"ˈsɒft.weər
the instructions that control what a computer does; computer programs."
somebody (pronoun),"ˈsʌm.bə.di
someone."
someone (pronoun),"ˈsʌm.wʌn
used to refer to a single person when you do not know who they are or when it is not important who they are."
somewhere (adverb),"ˈsʌm.weər
in or at a place having a position that is not stated or not known."
song (noun),"sɒŋ
a usually short piece of music with words that are sung."
soon (adverb),"suːn
in or within a short time; before long; quickly."
sorry (adjective),"ˈsɒr.i
feeling sadness, sympathy, or disappointment, especially because something unpleasant has happened or been done."
sort (noun),"sɔːt
a group of things that are of the same type or that share similar qualities."
sound (noun),"saʊnd
something that you can hear or that can be heard."
sound (verb),"saʊnd
to seem good, interesting, strange, etc. from what is said or written."
south (noun),"saʊθ
the direction that goes towards the part of the earth below the equator, opposite to the north, or the part of an area or country that is in this direction."
south (adjective),"saʊθ
in or forming the south part of something."
south (adverb),"saʊθ
towards the south."
space (noun),"speɪs
an empty area that is available to be used."
special (adjective),"ˈspeʃ.əl
not ordinary or usual."
spell (verb),"spel
to form a word or words with the letters in the correct order."
spelling (noun),"ˈspel.ɪŋ
forming words with the correct letters in the correct order, or the ability to do this."
spend (verb),"spend
to give money as a payment for something."
spoon (noun),"spuːn
an object consisting of a round, hollow part and a handle, used for mixing, serving, and eating food."
spring (noun),"sprɪŋ
the season of the year between winter and summer, lasting from March to June north of the equator, and from September to December south of the equator, when the weather becomes warmer, leaves and plants start to grow again and flowers appear."
square (adjective),"skweər
having the shape of a square."
square (noun),"skweər
a flat shape with four sides of equal length and four angles of 90°."
staff (noun),"stɑːf
the group of people who work for an organization."
stair (noun),"steər
a set of steps that lead from one level of a building to another."
stamp (noun),"stæmp
a small piece of paper with a picture or pattern on it that is stuck onto a letter or package before it is posted, to show that the cost of sending it has been paid."
stand (verb),"stænd
to be in a vertical state or to put into a vertical state, especially (of a person or animal) by making the legs straight."
star (noun),"stɑːr
a very large ball of burning gas in space that is usually seen from the earth as a point of light in the sky at night."
steal (verb),"stiːl
to take something without the permission or knowledge of the owner and keep it."
still (adverb),"stɪl
continuing to happen or continuing to be done."
stomach (noun),"ˈstʌm.ək
an organ in the body where food is digested, or the soft front part of your body just below the chest."
storm (noun),"stɔːm
an extreme weather condition with very strong wind, heavy rain, and often thunder and lightning."
story (noun),"ˈstɔː.ri
a description, either true or imagined, of a connected series of events."
straight (adjective),"streɪt
continuing in one direction without bending or curving."
strange (adjective),"streɪndʒ
unusual and unexpected, or difficult to understand."
strong (adjective),"strɒŋ
powerful; having or using great force or control."
such (predeterminer),"sʌtʃ
used before a noun or noun phrase to add emphasis."
suit (noun),"suːt
a jacket and trousers or a jacket and skirt that are made from the same material."
suppose (verb),"səˈpəʊz
to think that something is likely to be true."
sure (adjective),"ʃɔːr
certain; without any doubt."
sure (adverb),"ʃɔːr
certainly."
surprise (noun),"səˈpraɪz
an unexpected event."
surprised (adjective),"səˈpraɪzd
feeling or showing surprise because something has happened that you did not expect."
sweater (noun),"ˈswet.ər
a piece of clothing, typically with long sleeves and made from wool, that is worn on the upper part of the body."
sweet (noun),"swiːt
a small piece of sweet food, made of sugar."
swim (noun),"swɪm
a time when you swim."
swimming (noun),"ˈswɪm.ɪŋ
the activity or sport of swimming."
team (noun),"tiːm
a number of people or animals who do something together as a group."
teenager (noun),"ˈtiːnˌeɪ.dʒər
a young person between 13 and 19 years old."
telephone (noun),"ˈtel.ɪ.fəʊn
a 
phone ."
telephone (verb),"ˈtel.ɪ.fəʊn
to use a phone."
temperature (noun),"ˈtem.prə.tʃər
the measured amount of heat in a place or in the body."
terrible (adjective),"ˈter.ə.bəl
very unpleasant or serious or of low quality."
text (verb),"tekst
to send someone a text message by phone."
textbook (noun),"ˈtekst.bʊk
a book that contains detailed information about a subject for people who are studying that subject."
thank (verb),"θæŋk
to express to someone that you are pleased about or are grateful for something that they have done."
that (conjunction),"ðæt
used to introduce a clause that reports something or gives further information, although it can often be left out."
theatre (noun),"ˈθɪə.tər
a building, room, or outside structure with rows of seats, each row usually higher than the one in front, from which people can watch a performance or other activity."
theirs (pronoun),"ðeəz
the one(s) belonging to or connected with them."
themselves (pronoun),"ðəmˈselvz
used when the subject of the verb is ""they"" or a group of people, and the object is the same group of people."
thin (adjective),"θɪn
having a small distance between two opposite sides."
third (ordinal number),"θɜːd
3rd written as a word."
thirsty (adjective),"ˈθɜː.sti
needing to drink."
thirty (number),"ˈθɜː.ti
the number 30."
thousand (number),"ˈθaʊ.zənd
the number 1,000."
through (preposition),"θruː
from one end or side of something to the other."
throw (verb),"θrəʊ
to send something through the air with force, especially by a sudden movement of the arm."
tidy (verb),"ˈtaɪ.di
to make a place or a collection of things tidy."
tidy (adjective),"ˈtaɪ.di
having everything ordered and arranged in the right place, or liking to keep things like this."
tie (noun),"taɪ
a long, thin piece of material that is worn under a shirt collar, especially by men, and tied in a knot at the front."
till (preposition),"tɪl
up to (the time that); until."
time (noun),"taɪm
the part of existence that is measured in minutes, days, years, etc., or this process considered as a whole."
toe (noun),"təʊ
any of the five separate parts at the end of the foot."
top (noun),"tɒp
the highest place or part."
tour (noun),"tʊər
a visit to a place or area, especially one during which you look around the place or area and learn about it."
tourist (noun),"ˈtʊə.rɪst
someone who visits a place for pleasure and interest, usually while on holiday."
towel (noun),"taʊəl
a piece of cloth or paper used for drying someone or something that is wet."
toy (noun),"tɔɪ
an object for children to play with."
traffic (noun),"ˈtræf.ɪk
the number of vehicles moving along roads, or the amount of aircraft, trains, or ships moving along a route."
trip (noun),"trɪp
a journey in which you go somewhere, usually for a short time, and come back again."
true (adjective),"truː
(especially of facts or statements) right and not wrong; correct."
try (verb),"traɪ
to attempt to do something."
tune (noun),"tʃuːn
a series of musical notes, especially one that is pleasant and easy to remember."
twice (predeterminer),"twaɪs
two times."
type (noun),"taɪp
a particular group of people or things that share similar characteristics and form a smaller division of a larger set."
tyre (noun),"taɪər
a thick rubber ring, often filled with air, that is fitted around the outer edge of the wheel of a vehicle, allowing the vehicle to stick to the road surface and to travel over the ground more easily."
umbrella (noun),"ʌmˈbrel.ə
a device for protection against the rain, consisting of a stick with a folding frame covered in material at one end and usually a handle at the other, or a similar, often larger, device used for protection against the sun."
uncle (noun),"ˈʌŋ.kəl
the brother of someone's mother or father, or the husband of someone's aunt or uncle."
unfortunately (adverb),"ʌnˈfɔː.tʃən.ət.li
used to say that something is sad, disappointing, or has a bad effect."
unhappy (adjective),"ʌnˈhæp.i
sad or not satisfied."
uniform (noun),"ˈjuː.nɪ.fɔːm
a particular set of clothes that has to be worn by the members of the same organization or group of people."
unusual (adjective),"ʌnˈjuː.ʒu.əl
different from others of the same type in a way that is surprising, interesting, or attractive."
up (adverb),"ʌp
towards a higher position; towards a higher value, number, or level."
up (preposition),"ʌp
to or in a higher level or position."
upset (adjective),"ʌpˈset
worried, unhappy, or angry."
upstairs (adverb),"ʌpˈsteəz
towards or on the highest floor or floors of a building."
useful (adjective),"ˈjuːs.fəl
effective; helping you to do or achieve something."
usual (adjective),"ˈjuː.ʒu.əl
normal; happening, done, or used most often."
usually (adverb),"ˈjuː.ʒu.ə.li
in the way that most often happens."
various (adjective),"ˈveə.ri.əs
many different."
video (noun),"ˈvɪd.i.əʊ
a recording of moving pictures and sound, especially as a digital file, DVD, etc.."
visitor (noun),"ˈvɪz.ɪ.tər
someone who visits a person or place."
walk (noun),"wɔːk
a journey that you make by walking, often for enjoyment."
war (noun),"wɔːr
armed fighting between two or more countries or groups, or a particular example of this."
wash (noun),"wɒʃ
the action of washing something or a part of your body."
way (noun),"weɪ
a route, direction, or path."
weekly (adjective),"ˈwiː.kli
happening once a week or every week."
welcome (exclamation),"ˈwel.kəm
said as a greeting to someone arriving at a place."
west (noun),"west
the direction in which the sun goes down in the evening, opposite to the east, or the part of an area or country that is in this direction."
west (adjective),"west
in or forming the west part of something."
