word,answer
charity (noun),"ˈtʃær.ə.ti
an organization whose purpose is to give money, food, or help to those who need it, or to carry out activities such as medical research that will help people in need, and not to make a profit."
charm (verb),"tʃɑːm
to attract someone or persuade someone to do something because of your charm."
charm (noun),"tʃɑːm
a quality that makes you like or feel attracted to someone or something."
charming (adjective),"ˈtʃɑː.mɪŋ
pleasant and attractive."
chart (noun),"tʃɑːt
a drawing that shows information in a simple way, often using lines and curves to show amounts."
chart (verb),"tʃɑːt
to show something on a chart."
charter (noun),"ˈtʃɑː.tər
a formal statement of the rights of a country's people, or of an organization or a particular social group, that is agreed by or demanded from a ruler or government."
charter (verb),"ˈtʃɑː.tər
to rent a vehicle, especially an aircraft, for a special use and not as part of a regular service."
chase (verb),"tʃeɪs
to hurry after someone or something in order to catch him, her, or it."
chase (noun),"tʃeɪs
the act of going after someone or something very quickly in order to catch him, her, or it."
chat (verb),"tʃæt
to talk to someone in a friendly informal way."
chat (noun),"tʃæt
a friendly, informal conversation."
cheap (adverb),"tʃiːp
for little money or for less than is usual."
cheap (adjective),"tʃiːp
costing little money or less than is usual or expected."
cheat (noun),"tʃiːt
a person who behaves in a dishonest way."
cheat (verb),"tʃiːt
to behave in a dishonest way in order to get what you want."
check (noun),"tʃek
an examination of something in order to make certain that it is correct or the way it should be."
check (verb),"tʃek
to make certain that something or someone is correct, safe, or suitable by examining it, him, or her quickly."
check (exclamation),"tʃek
used to say yes to someone who is making certain that all the things on a list have been dealt with or included."
cheek (verb),"tʃiːk
to be rude to someone."
cheek (noun),"tʃiːk
the soft part of your face that is below your eye and between your mouth and ear."
cheer (noun),"tʃɪər
a loud shout of approval or encouragement."
cheer (verb),"tʃɪər
to give a loud shout of approval or encouragement."
cheerful (adjective),"ˈtʃɪə.fəl
happy and positive."
cheese (noun),"tʃiːz
a food made from milk, or from a milk-like substance taken from plants, that can be either firm or soft and is usually yellow or white in colour."
chef (noun),"ʃef
a skilled and trained cook who works in a hotel or restaurant, especially the most important cook."
chemical (adjective),"ˈkem.ɪ.kəl
relating to chemicals."
chemical (noun),"ˈkem.ɪ.kəl
any basic substance that is used in or produced by a reaction involving changes to atoms or molecules."
chemistry (noun),"ˈkem.ɪ.stri
the scientific study of the basic characteristics of substances and the ways in which they react or combine."
chest (noun),"tʃest
the upper front part of the body of humans and some animals, between the stomach and the neck, containing the heart and lungs."
chicken (adjective),"ˈtʃɪk.ɪn
not brave."
chicken (noun),"ˈtʃɪk.ɪn
a type of bird kept on a farm for its eggs or its meat, or the meat of this bird that is cooked and eaten."
chief (noun),"tʃiːf
the person in charge of a group or organization, or the ruler of a tribe."
chief (adjective),"tʃiːf
most important or main."
child (noun),"tʃaɪld
a boy or girl from the time of birth until he or she is an adult, or a son or daughter of any age."
childhood (noun),"ˈtʃaɪld.hʊd
the time when someone is a child."
chip (verb),"tʃɪp
to break a small piece off something by accident."
chip (noun),"tʃɪp
a long, thin piece of potato that is fried and usually eaten hot."
chocolate (adjective),"ˈtʃɒk.lət
made of or relating to chocolate."
chocolate (noun),"ˈtʃɒk.lət
a sweet, usually brown, food made from cacao seeds, that is usually sold in a block and is often used as a flavour for desserts, drinks, etc.."
choice (noun),"tʃɔɪs
an act or the possibility of choosing."
choice (adjective),"tʃɔɪs
of high quality."
choir (noun),"kwaɪər
a group of people who sing together."
choose (verb),"tʃuːz
to decide what you want from two or more things or possibilities."
chop (verb),"tʃɒp
to cut something into pieces with an axe, knife, or other sharp instrument."
chop (noun),"tʃɒp
a small piece of meat with a bone still in it."
chronic (adjective),"ˈkrɒn.ɪk
(especially of a disease or something bad) continuing for a long time."
chunk (noun),"tʃʌŋk
a roughly cut piece."
church (noun),"tʃɜːtʃ
a building for Christian religious activities."
cigarette (noun),"ˌsɪɡ.ərˈet
a small paper tube filled with cut pieces of tobacco that people smoke."
cinema (noun),"ˈsɪn.ə.mɑː
a theatre where people pay to watch films."
circle (verb),"ˈsɜː.kəl
to move in a circle, often around something."
circle (noun),"ˈsɜː.kəl
a continuous curved line, the points of which are always the same distance away from a fixed central point, or the area inside such a line."
circuit (noun),"ˈsɜː.kɪt
a regular pattern of visits or the places visited."
circuit (verb),"ˈsɜː.kɪt
to travel around something in a route shaped approximately like a circle."
circulate (verb),"ˈsɜː.kjə.leɪt
to go around or through something, or to make something go around or through something."
circulation (noun),"ˌsɜː.kjəˈleɪ.ʃən
the process in which something such as information, money, or goods passes from one person to another."
circumstance (noun),"ˈsɜː.kəm.stɑːns
a fact or event that makes a situation the way it is."
cite (verb),"saɪt
to mention something as proof for a theory or as a reason why something has happened."
citizen (noun),"ˈsɪt.ɪ.zən
a person who is a member of a particular country and who has rights because of being born there or because of being given rights, or a person who lives in a particular town or city."
citizenship (noun),"ˈsɪt.ɪ.zən.ʃɪp
the state of being a member of a particular country and having rights because of it."
city (noun),"ˈsɪt.i
a large town."
civic (adjective),"ˈsɪv.ɪk
of a town or city or the people who live in it."
civil (adjective),"ˈsɪv.əl
not military or religious, or relating to the ordinary people of a country."
civilian (noun),"sɪˈvɪl.jən
a person who is not a member of the police or the armed forces."
civilian (adjective),"sɪˈvɪl.jən
relating to a person who is not a member of the police or the armed forces."
civilization (noun),"ˌsɪv.əl.aɪˈzeɪ.ʃən
human society with its well developed social organizations, or the culture and way of life of a society or country at a particular period in time."
claim (verb),"kleɪm
to say that something is true or is a fact, although you cannot prove it and other people might not believe it."
claim (noun),"kleɪm
a statement that something is true or is a fact, although other people might not believe it."
clarify (verb),"ˈklær.ɪ.faɪ
to make something clear or easier to understand by giving more details or a simpler explanation."
clarity (noun),"ˈklær.ə.ti
the quality of being clear and easy to understand."
clash (verb),"klæʃ
to fight or argue."
clash (noun),"klæʃ
a fight or argument between people."
class (verb),"klɑːs
to consider someone or something to belong to a particular group because of their qualities."
class (noun),"klɑːs
a group of students who are taught together at school, college, or university."
class (adjective),"klɑːs
very good."
classic (adjective),"ˈklæs.ɪk
having a high quality or standard against which other things are judged."
classic (noun),"ˈklæs.ɪk
a piece of writing, a musical recording, or a film that is well known and of a high standard and lasting value."
classical (adjective),"ˈklæs.ɪ.kəl
traditional in style or form, or based on methods developed over a long period of time, and considered to be of lasting value."
classification (noun),"ˌklæs.ɪ.fɪˈkeɪ.ʃən
the act or process of dividing things into groups according to their type."
classify (verb),"ˈklæs.ɪ.faɪ
to divide things or people into groups according to their type, or to say which group or type something or someone belongs to."
classroom (noun),"ˈklɑːs.ruːm
a room in a school or college where groups of students are taught."
clause (noun),"klɔːz
a particular part of a written legal document, for example a law passed by Parliament or a contract (= an agreement)."
clean (adverb),"kliːn
completely."
clean (adjective),"kliːn
free from any dirty marks, pollution, bacteria, etc.."
clean (noun),"kliːn
when something is cleaned."
clean (verb),"kliːn
to remove dirt from something."
cleaning (noun),"ˈkliː.nɪŋ
the activity of removing the dirt from things and places, especially in a house."
clear (adverb),"klɪər
not touching, or away from."
clear (verb),"klɪər
to remove or get rid of whatever is blocking or filling something, or to stop being blocked or full."
clear (adjective),"klɪər
easy to understand, hear, read, or see."
clearly (adverb),"ˈklɪə.li
in a way that is easy to see, hear, read, or understand."
clerk (noun),"klɑːk
a person who works in an office, dealing with records or performing general office duties."
clerk (verb),"klɑːk
to work as a clerk."
clever (adjective),"ˈklev.ər
having or showing the ability to learn and understand things quickly and easily."
click (verb),"klɪk
to carry out a computer operation by pressing a button on the mouse or keyboard."
click (noun),"klɪk
a short, sharp sound."
client (noun),"ˈklaɪ.ənt
a customer or someone who receives services."
cliff (noun),"klɪf
a high area of rock with a very steep side, often on a coast."
climate (adjective),"ˈklaɪ.mət
relating to climate change."
climate (noun),"ˈklaɪ.mət
the general weather conditions usually found in a particular place."
climb (noun),"klaɪm
an act or process of climbing."
climb (verb),"klaɪm
to go up, or to go towards the top of something."
cling (verb),"klɪŋ
to stick onto or hold something or someone tightly, or to refuse to stop holding it, him, or her."
clinic (noun),"ˈklɪn.ɪk
a building, often part of a hospital, to which people can go for medical care or advice relating to a particular condition."
clinical (adjective),"ˈklɪn.ɪ.kəl
used to refer to medical work or teaching that relates to the examination and treatment of ill people."
clip (noun),"klɪp
a small object usually made of metal or plastic, used for fastening things together or holding them in position."
clip (verb),"klɪp
to cut something with scissors or a similar sharp tool, especially to make it tidier."
clock (noun),"klɒk
a device for measuring and showing time, usually found in or on a building and not worn by a person."
clock (verb),"klɒk
to take a particular time exactly to do or complete something."
close (verb),"kləʊz
to change from being open to not being open, or to cause something to do this."
close (noun),"kləʊz
the end of something, or the time when you end it."
close (adjective),"kləʊs
having direct family connections or shared beliefs, support, and sympathy."
close (adjective),"kləʊs
not far in position or time."
closed (adjective),"kləʊzd
not open."
closely (adverb),"ˈkləʊs.li
in a way that is directly connected or has a strong relationship."
closure (noun),"ˈkləʊ.ʒər
the fact of a business, organization, etc. stopping operating."
cloth (noun),"klɒθ
(a type of) woven material."
clothes (noun),"kləʊðz
things such as dresses and trousers that you wear to cover, protect, or decorate your body."
clothing (noun),"ˈkləʊ.ðɪŋ
clothes, especially clothes of a particular type or those worn in a particular situation."
cloud (verb),"klaʊd
If something transparent clouds, or if something clouds it, it becomes difficult to see through.."
cloud (noun),"klaʊd
a grey or white mass in the sky, made up of very small floating drops of water."
club (verb),"klʌb
to beat a person or an animal, usually repeatedly, with a heavy stick or object."
club (noun),"klʌb
an organization of people with a common purpose or interest, who meet regularly and take part in shared activities."
clue (noun),"kluː
a sign or some information that helps you to find the answer to a problem, question, or mystery."
clue (verb),"kluː
to write or create clues for something such as a crossword (= a game in which you have to write words in a pattern of black and white squares) or other game."
cluster (noun),"ˈklʌs.tər
a group of similar things that are close together, sometimes surrounding something."
cluster (verb),"ˈklʌs.tər
(of a group of similar things or people) to form a group, sometimes by surrounding something, or to make something do this."
coach (verb),"kəʊtʃ
to give special classes in sports or a school subject, especially privately, to one person or a small group."
coach (noun),"kəʊtʃ
the cheapest type of seats on a plane or train."
coach (noun),"kəʊtʃ
someone whose job is to teach people to improve at a sport, skill, or school subject."
coal (noun),"kəʊl
a hard, black substance that is dug from the earth in pieces, and can be burned to produce heat or power, or a single piece of this."
coalition (noun),"kəʊ.əˈlɪʃ.ən
the joining together of different political parties or groups for a particular purpose, usually for a limited time, or a government that is formed in this way."
coast (verb),"kəʊst
to move forward in a vehicle without using the engine, usually down a hill."
coast (noun),"kəʊst
the land next to or close to the sea."
coastal (adjective),"ˈkəʊ.stəl
positioned on, or relating to the coast."
coat (verb),"kəʊt
to cover something with a layer of a particular substance."
coat (noun),"kəʊt
an outer piece of clothing with sleeves that is worn over other clothes, usually for warmth."
cocktail (noun),"ˈkɒk.teɪl
a drink, usually an alcoholic one, made by mixing two or more drinks together."
code (noun),"kəʊd
a system of words, letters, or signs used to represent a message in secret form, or a system of numbers, letters, or signals used to represent something in a shorter or more convenient form."
code (verb),"kəʊd
to represent a message in code so that it can only be understood by the person who is meant to receive it."
coffee (noun),"ˈkɒf.i
a dark brown powder with a strong flavour and smell that is made by crushing dark beans from a tropical bush and used to make a drink."
cognitive (adjective),"ˈkɒɡ.nə.tɪv
connected with thinking or conscious mental processes."
coin (verb),"kɔɪn
to invent a new word or expression, or to use one in a particular way for the first time."
coin (noun),"kɔɪn
a small, round piece of metal, usually silver or copper coloured, that is used as money."
coincide (verb),"ˌkəʊ.ɪnˈsaɪd
to happen at or near the same time."
coincidence (noun),"kəʊˈɪn.sɪ.dəns
an occasion when two or more similar things happen at the same time, especially in a way that is unlikely and surprising."
cold (adjective),"kəʊld
at a low temperature, especially when compared to the temperature of the human body, and not hot, or warm."
cold (noun),"kəʊld
a common infection, especially in the nose and throat, that causes you to cough and sneeze and your nose to run (= drip liquid) or feel blocked."
collaborate (verb),"kəˈlæb.ə.reɪt
to work with someone else for a special purpose."
collaboration (noun),"kəˌlæb.əˈreɪ.ʃən
the situation of two or more people working together to create or achieve the same thing."
collapse (verb),"kəˈlæps
to fall down suddenly because of pressure or having no strength or support."
collapse (noun),"kəˈlæps
the sudden failure of a system, organization, business, etc.."
colleague (noun),"ˈkɒl.iːɡ
one of a group of people who work together."
collect (verb),"kəˈlekt
to get and keep things of one type such as stamps or coins as a hobby."
collect (adjective),"kəˈlekt
When you call collect or make a collect phone call, the person you call pays for the call."
collect (noun),"kəˈlekt
a short prayer that is said during some Christian religious ceremonies."
collection (noun),"kəˈlek.ʃən
a group of objects of one type that have been collected by one person or in one place."
collective (noun),"kəˈlek.tɪv
an organization or business that is owned and controlled by the people who work in it."
collective (adjective),"kəˈlek.tɪv
of or shared by every member of a group of people."
collector (noun),"kəˈlek.tər
someone who collects objects because they are beautiful, valuable, or interesting."
college (noun),"ˈkɒl.ɪdʒ
a university where you can study for an undergraduate (= first) degree."
collision (noun),"kəˈlɪʒ.ən
an accident that happens when two vehicles hit each other with force."
colonial (adjective),"kəˈləʊ.ni.əl
relating to a colony or colonialism."
colonial (noun),"kəˈləʊ.ni.əl
a person from another country who lives in a colony, especially as part of its system of government."
colony (noun),"ˈkɒl.ə.ni
a country or area controlled politically by a more powerful country that is often far away."
colour (adjective),"ˈkʌl.ər
Colour television, photography, or printing shows things in all their colours, not just in black and white.."
colour (verb),"ˈkʌl.ər
to become a particular colour, or to make something a particular colour."
colour (noun),"ˈkʌl.ər
red, blue, green, yellow, etc.."
coloured (noun),"ˈkʌl.əd
a word for a person who has black or brown skin, which was used officially in some countries in the past, but is now extremely offensive."
coloured (adjective),"ˈkʌl.əd
having or producing a colour or colours."
colourful (adjective),"ˈkʌl.ə.fəl
having bright colours or a lot of different colours."
column (noun),"ˈkɒl.əm
one of several vertical blocks of print into which a page of a newspaper or magazine is divided."
columnist (noun),"ˈkɒl.əm.nɪst
someone who writes a regular article for a newspaper or magazine."
combat (verb),"kəmˈbæt
to try to stop something unpleasant or harmful from happening or increasing."
combat (noun),"ˈkɒm.bæt
a fight, especially during a war."
combination (noun),"ˌkɒm.bɪˈneɪ.ʃən
the mixture you get when two or more things are combined."
combine (verb),"kəmˈbaɪn
to (cause to) exist together, or join together to make a single thing or group."
combine (noun),"ˈkɒm.baɪn
a group of people or organizations acting together in business."
come (noun),"kʌm

semen  (= the liquid containing sperm)."
come (verb),"kʌm
to move or travel towards the speaker or with the speaker."
comedy (noun),"ˈkɒm.ə.di
a (type of) film, play, or book that is intentionally funny either in its characters or its action."
comfort (noun),"ˈkʌm.fət
a pleasant feeling of being relaxed and free from pain."
comfort (verb),"ˈkʌm.fət
to make someone feel better when they are sad or worried."
comfortable (adjective),"ˈkʌm.fə.tə.bəl
Comfortable furniture and clothes provide a pleasant feeling and do not give you any physical problems."
comic (noun),"ˈkɒm.ɪk
a magazine or book that contains a set of stories told in pictures with a small amount of writing."
comic (adjective),"ˈkɒm.ɪk
funny and making you want to laugh."
command (verb),"kəˈmɑːnd
to give someone an order."
command (noun),"kəˈmɑːnd
an order, especially one given by a soldier."
commander (noun),"kəˈmɑːn.dər
an officer who is in charge of a military operation, or an officer of a particular rank in many countries' naval forces."
commence (verb),"kəˈmens
to begin something."
comment (verb),"ˈkɒm.ent
to make a comment."
comment (noun),"ˈkɒm.ent
something that you say or write that expresses your opinion."
commentary (noun),"ˈkɒm.ən.tər.i
a spoken description of an event on the radio or television that is broadcast as the event happens."
commentator (noun),"ˈkɒm.ən.teɪ.tər
a reporter for radio or television who provides a spoken description of and remarks on an event, especially a sports competition, as it happens."
commerce (noun),"ˈkɒm.ɜːs
the activities involved in buying and selling things."
commercial (adjective),"kəˈmɜː.ʃəl
related to making money by buying and selling things."
commercial (noun),"kəˈmɜː.ʃəl
an advertisement that is broadcast on television or radio."
commission (verb),"kəˈmɪʃ.ən
to formally choose someone to do a special piece of work, or to formally ask for a special piece of work from someone."
commission (noun),"kəˈmɪʃ.ən
a group of people who have been formally chosen to discover information about a problem or examine the reasons why the problem exists."
commissioner (noun),"kəˈmɪʃ.ən.ər
an important official who has responsibility in a government department or another organization."
commit (verb),"kəˈmɪt
to do something illegal or something that is considered wrong."
commitment (noun),"kəˈmɪt.mənt
a promise or firm decision to do something."
committee (noun),"kəˈmɪt.i
a small group of people chosen to represent a larger organization and either make decisions or collect information for it."
commodity (noun),"kəˈmɒd.ə.ti
a substance or product that can be traded, bought, or sold."
common (adjective),"ˈkɒm.ən
the same in a lot of places or for a lot of people."
common (noun),"ˈkɒm.ən
an area of grass that everyone is allowed to use, usually in or near a village."
commonly (adverb),"ˈkɒm.ən.li
often or usually."
communicate (verb),"kəˈmjuː.nɪ.keɪt
to share information with others by speaking, writing, moving your body, or using other signals."
communication (noun),"kəˌmjuː.nɪˈkeɪ.ʃən
the act of communicating with people."
communist (noun),"ˈkɒm.jə.nɪst
someone who believes in or supports communism, especially someone who is a member of a communist party."
communist (adjective),"ˈkɒm.jə.nɪst
relating to communism."
community (noun),"kəˈmjuː.nə.ti
the people living in one particular area or people who are considered as a unit because of their common interests, social group, or nationality."
companion (noun),"kəmˈpæn.jən
a person you spend a lot of time with often because you are friends or because you are travelling together."
company (noun),"ˈkʌm.pə.ni
an organization that sells goods or services in order to make money."
comparable (adjective),"ˈkɒm.pər.ə.bəl
similar in size, amount, or quality to something else."
comparative (adjective),"kəmˈpær.ə.tɪv
comparing different things."
comparative (noun),"kəmˈpær.ə.tɪv
the form of an adjective or adverb that expresses a difference in amount, number, degree, or quality."
compare (noun),"kəmˈpeər
so good that everyone or everything else is of worse quality."
compare (verb),"kəmˈpeər
to examine or look for the difference between two or more things."
comparison (noun),"kəmˈpær.ɪ.sən
the act of comparing two or more people or things."
compassion (noun),"kəmˈpæʃ.ən
a strong feeling of sympathy and sadness for the suffering or bad luck of others and a wish to help them."
compel (verb),"kəmˈpel
to force someone to do something."
compelling (adjective),"kəmˈpel.ɪŋ
If a reason, argument, etc. is compelling, it makes you believe it or accept it because it is so strong."
compensate (verb),"ˈkɒm.pən.seɪt
to pay someone money in exchange for something that has been lost or damaged or for some problem."
compensation (noun),"ˌkɒm.penˈseɪ.ʃən
money that is paid to someone in exchange for something that has been lost or damaged or for some problem."
compete (verb),"kəmˈpiːt
to try to be more successful than someone or something else."
competence (noun),"ˈkɒm.pɪ.təns
the ability to do something well."
competent (adjective),"ˈkɒm.pɪ.tənt
able to do something well."
competition (noun),"ˌkɒm.pəˈtɪʃ.ən
a situation in which someone is trying to win something or be more successful than someone else."
competitive (adjective),"kəmˈpet.ɪ.tɪv
involving competition."
competitor (noun),"kəmˈpet.ɪ.tər
a person, team, or company that is competing against others."
compile (verb),"kəmˈpaɪl
to collect information from different places and arrange it in a book, report, or list."
complain (verb),"kəmˈpleɪn
to say that something is wrong or not satisfactory."
complaint (noun),"kəmˈpleɪnt
a statement that something is wrong or not satisfactory."
complement (noun),"ˈkɒm.plɪ.ment
a part of a clause that usually follows the verb in English and adds more information about the subject or object."
complement (verb),"ˈkɒm.plɪ.ment
to make something else seem better or more attractive when combining with it."
complete (verb),"kəmˈpliːt
to make whole or perfect."
complete (adjective),"kəmˈpliːt
very great or to the largest degree possible."
completely (adverb),"kəmˈpliːt.li
in every way or as much as possible."
completion (noun),"kəmˈpliː.ʃən
the act of finishing something that you are doing or making."
complex (adjective),"ˈkɒm.pleks
involving a lot of different but related parts."
complex (noun),"ˈkɒm.pleks
a large building with various connected rooms or a related group of buildings."
complexity (noun),"kəmˈplek.sə.ti
the state of having many parts and being difficult to understand or find an answer to."
compliance (noun),"kəmˈplaɪ.əns
the act of obeying a law or rule, especially one that controls a particular industry or type of work."
complicated (adjective),"ˈkɒm.plɪ.keɪ.tɪd
involving a lot of different parts, in a way that is difficult to understand."
complication (noun),"ˌkɒm.plɪˈkeɪ.ʃən
something that makes a situation more difficult, or the act of doing this."
comply (verb),"kəmˈplaɪ
to act according to an order, set of rules, or request."
component (noun),"kəmˈpəʊ.nənt
a part that combines with other parts to form something bigger."
compose (verb),"kəmˈpəʊz
to produce music, poetry, or formal writing."
composer (noun),"kəmˈpəʊ.zər
a person who writes music."
composition (noun),"ˌkɒm.pəˈzɪʃ.ən
a piece of music that someone has written."
compound (noun),"ˈkɒm.paʊnd
a chemical that combines two or more elements."
compound (verb),"kəmˈpaʊnd
to make a problem or difficult situation worse."
compound (adjective),"ˈkɒm.paʊnd
consisting of two or more parts."
comprehensive (adjective),"ˌkɒm.prɪˈhen.sɪv
complete and including everything that is necessary."
comprehensive (noun),"ˌkɒm.prɪˈhen.sɪv
in the UK, a school for children of all abilities above the age of eleven, that is paid for by the state."
comprise (verb),"kəmˈpraɪz
to have things or people as parts or members; to consist of."
compromise (verb),"ˈkɒm.prə.maɪz
to accept that you will reduce your demands or change your opinion in order to reach an agreement with someone."
compromise (noun),"ˈkɒm.prə.maɪz
an agreement in an argument in which the people involved reduce their demands or change their opinion in order to agree."
compulsory (adjective),"kəmˈpʌl.sər.i
If something is compulsory, you must do it because of a rule or law."
compute (verb),"kəmˈpjuːt
to calculate an answer or amount by using a machine."
computer (noun),"kəmˈpjuː.tər
an electronic machine that is used for storing, organizing, and finding words, numbers, and pictures, for doing calculations, and for controlling other machines."
conceal (verb),"kənˈsiːl
to prevent something from being seen or known about."
concede (verb),"kənˈsiːd
to admit, often unwillingly, that something is true."
conceive (verb),"kənˈsiːv
to imagine something."
concentrate (noun),"ˈkɒn.sən.treɪt
a liquid from which some of the water has been removed."
concentrate (verb),"ˈkɒn.sən.treɪt
to direct your attention or your efforts towards a particular activity, subject, or problem."
concentration (noun),"ˌkɒn.sənˈtreɪ.ʃən
the ability to think carefully about something you are doing and nothing else."
concept (noun),"ˈkɒn.sept
a principle or idea."
conception (noun),"kənˈsep.ʃən
an idea of what something or someone is like, or a basic understanding of a situation or a principle."
concern (noun),"kənˈsɜːn
a worried or nervous feeling about something, or something that makes you feel worried."
concern (verb),"kənˈsɜːn
to cause worry to someone."
concerned (adjective),"kənˈsɜːnd
worried."
concert (noun),"ˈkɒn.sət
a performance of music by one or more musicians or singers."
concession (noun),"kənˈseʃ.ən
something that is allowed or given up, often in order to end a disagreement, or the act of allowing or giving this."
conclude (verb),"kənˈkluːd
to end a speech, meeting, or piece of writing."
conclusion (noun),"kənˈkluː.ʒən
the final part of something."
concrete (adjective),"ˈkɒŋ.kriːt
clear and certain, or real and existing in a form that can be seen or felt."
concrete (verb),"ˈkɒŋ.kriːt
to cover something in concrete."
concrete (noun),"ˈkɒŋ.kriːt
a very hard building material made by mixing together cement, sand, small stones, and water."
condemn (verb),"kənˈdem
to criticize something or someone strongly, usually for moral reasons."
condition (verb),"kənˈdɪʃ.ən
to train or influence a person or animal mentally so that they do or expect a particular thing without thinking about it."
condition (noun),"kənˈdɪʃ.ən
the particular state that something or someone is in."
conduct (noun),"ˈkɒn.dʌkt
behaviour."
conduct (verb),"kənˈdʌkt
to organize and perform a particular activity."
confer (verb),"kənˈfɜːr
to exchange ideas on a particular subject, often in order to reach a decision on what action to take."
conference (noun),"ˈkɒn.fər.əns
an event, sometimes lasting a few days, at which there is a group of talks on a particular subject, or a meeting in which especially business matters are discussed formally."
confess (verb),"kənˈfes
to admit that you have done something wrong or something that you feel guilty or bad about."
confession (noun),"kənˈfeʃ.ən
the act of admitting that you have done something wrong or illegal."
confidence (noun),"ˈkɒn.fɪ.dəns
the quality of being certain of your abilities or of having trust in people, plans, or the future."
confident (adjective),"ˈkɒn.fɪ.dənt
being certain of your abilities or having trust in people, plans, or the future."
configuration (noun),"kənˌfɪɡ.əˈreɪ.ʃən
the particular arrangement or pattern of a group of related things."
confine (verb),"kənˈfaɪn
to limit an activity, person, or problem in some way."
confirm (verb),"kənˈfɜːm
to make an arrangement or meeting certain, often by phone or writing."
confirmation (noun),"ˌkɒn.fəˈmeɪ.ʃən
a statement, often written, that an arrangement or meeting is certain."
conflict (noun),"ˈkɒn.flɪkt
an active disagreement between people with opposing opinions or principles."
conflict (verb),"kənˈflɪkt
If beliefs, needs, or facts, etc. conflict, they are very different and cannot easily exist together or both be true."
confront (verb),"kənˈfrʌnt
to face, meet, or deal with a difficult situation or person."
confrontation (noun),"ˌkɒn.frʌnˈteɪ.ʃən
a fight or argument."
confuse (verb),"kənˈfjuːz
to mix up someone's mind or ideas, or to make something difficult to understand."
confused (adjective),"kənˈfjuːzd
unable to think clearly or to understand something."
confusing (adjective),"kənˈfjuː.zɪŋ
Something that is confusing makes you feel confused because it is difficult to understand."
confusion (noun),"kənˈfjuː.ʒən
a situation in which people do not understand what is happening, what they should do or who someone or something is."
congratulate (verb),"kənˈɡrætʃ.ə.leɪt
to praise someone and say that you approve of or are pleased about a special or unusual achievement."
congregation (noun),"ˌkɒŋ.ɡrɪˈɡeɪ.ʃən
a group of people who have come together in a religious building for worship and prayer."
congressional (adjective),"kəŋˈɡreʃ.ən.əl
belonging or related to the US Congress."
connect (verb),"kəˈnekt
to join or be joined with something else."
connected (adjective),"kəˈnek.tɪd
joined together."
connection (noun),"kəˈnek.ʃən
the state of being related to someone or something else."
conquer (verb),"ˈkɒŋ.kər
to take control or possession of foreign land, or a group of people, by force."
conscience (noun),"ˈkɒn.ʃəns
the part of you that judges how moral your own actions are and makes you feel guilty about bad things that you have done or things you feel responsible for."
conscious (adjective),"ˈkɒn.ʃəs
to notice that a particular thing or person exists or is present."
consciousness (noun),"ˈkɒn.ʃəs.nəs
the state of understanding and realizing something."
consecutive (adjective),"kənˈsek.jə.tɪv
Consecutive events, numbers, etc. follow one after another without an interruption."
consensus (noun),"kənˈsen.səs
a generally accepted opinion or decision among a group of people."
consent (noun),"kənˈsent
permission or agreement."
consent (verb),"kənˈsent
to agree to do something, or to allow someone to do something."
consequence (noun),"ˈkɒn.sɪ.kwəns
a result of a particular action or situation, often one that is bad or not convenient."
consequently (adverb),"ˈkɒn.sɪ.kwənt.li
as a result."
conservation (noun),"ˌkɒn.səˈveɪ.ʃən
the protection of plants and animals, natural areas, and interesting and important structures and buildings, especially from the damaging effects of human activity."
conservative (adjective),"kənˈsɜː.və.tɪv
not usually liking or trusting change, especially sudden change."
conserve (noun),"ˈkɒn.sɜːv
a type of jam in which the fruit is whole or in large pieces."
conserve (verb),"kənˈsɜːv
to keep and protect something from damage, change, or waste."
consider (verb),"kənˈsɪd.ər
to spend time thinking about a possibility or making a decision."
considerable (adjective),"kənˈsɪd.ər.ə.bəl
large or of noticeable importance."
considerably (adverb),"kənˈsɪd.ər.ə.bli
to a large, noticeable, or important degree."
consideration (noun),"kənˌsɪd.əˈreɪ.ʃən
the act of thinking about something carefully."
consistency (noun),"kənˈsɪs.tən.si
the physical nature of a substance, especially a thick liquid, for example by being thick or thin, smooth or lumpy, etc.."
consistent (adjective),"kənˈsɪs.tənt
always behaving or happening in a similar, especially positive, way."
consistently (adverb),"kənˈsɪs.tənt.li
in a way that does not change."
consolidate (verb),"kənˈsɒl.ɪ.deɪt
to become, or cause something to become, stronger, and more certain."
conspiracy (noun),"kənˈspɪr.ə.si
the activity of secretly planning with other people to do something bad or illegal."
constant (noun),"ˈkɒn.stənt
a particular number or amount that never changes."
constant (adjective),"ˈkɒn.stənt
happening a lot or all the time."
constantly (adverb),"ˈkɒn.stənt.li
all the time or often."
constituency (noun),"kənˈstɪtʃ.u.ən.si
one of the official areas of a country that elects someone to represent it in a parliament or legislature."
constitute (verb),"ˈkɒn.stɪ.tʃuːt
to be or be considered as something."
constitution (noun),"ˌkɒn.stɪˈtʃuː.ʃən
the set of political principles by which a state or organization is governed, especially in relation to the rights of the people it governs."
constitutional (noun),"ˌkɒn.stɪˈtʃuː.ʃən.əl
a walk that you often do to keep yourself healthy."
constitutional (adjective),"ˌkɒn.stɪˈtʃuː.ʃən.əl
allowed by or contained in a constitution."
constraint (noun),"kənˈstreɪnt
something that controls what you do by keeping you within particular limits."
construct (verb),"kənˈstrʌkt
to build something or put together different parts to form something whole."
construct (noun),"ˈkɒn.strʌkt
an idea or an imaginary situation."
