,vocab,sound,pos,cefr_level,definition
1815,juice,dʒuːs,noun,A1,the liquid that comes from fruit or vegetables.
1816,juice,dʒuːs,verb,none,to get the juice out of fruit or vegetables.
1817,july,dʒuˈlaɪ,noun,A1,"the seventh month of the year, after June and before August."
1818,jump,dʒʌmp,verb,A2,to push yourself suddenly off the ground and into the air using your legs.
1819,jump,dʒʌmp,noun,B1,a sudden movement off the ground and into the air.
1820,june,dʒuːn,noun,A1,"the sixth month of the year, after May and before July."
1821,junior,ˈdʒuː.ni.ər,noun,none,someone who has a job at a low level within an organization.
1822,junior,ˈdʒuː.ni.ər,adjective,B2,low or lower in rank.
1823,just,dʒʌst,adverb,A2,"now, very soon, or very recently."
1824,just,dʒʌst,adjective,C2,fair; morally correct.
1825,just,dʒʌst,noun,none,people who behave in a morally correct way.
1826,justice,ˈdʒʌs.tɪs,noun,B2,fairness in the way people are dealt with.
1827,justify,ˈdʒʌs.tɪ.faɪ,verb,B2,to give or to be a good reason for.
1828,keen,kiːn,adjective,B1,"very interested, eager, or wanting (to do) something very much."
1829,keen,kiːn,verb,none,"to make a loud, long, sad sound, especially because someone has died."
1830,keep,kiːp,verb,A2,to have or continue to have in your possession.
1831,keep,kiːp,noun,none,"the cost of providing food, heating, and other necessary things for someone."
1832,key,kiː,noun,A1,"a piece of metal that has been cut into a special shape and is used for opening or closing a lock, starting a car engine, etc.."
1833,key,kiː,adjective,B2,very important and having a lot of influence on other people or things.
1834,key,kiː,verb,none,to intentionally damage a car by scratching its paint using a key.
1835,keyboard,ˈkiː.bɔːd,noun,A2,the set of keys on a computer or typewriter that you press in order to make it work .
1836,keyboard,ˈkiː.bɔːd,verb,none,to put information into a computer using a keyboard.
1837,kick,kɪk,verb,A1,"to hit someone or something with the foot, or to move the feet and legs suddenly and violently."
1838,kick,kɪk,noun,A2,the action of kicking something.
1839,kid,kɪd,noun,B1,a child.
1840,kid,kɪd,verb,none,"to say something as a joke, often making someone believe something that is not true."
1841,kill,kɪl,verb,A2,to cause someone or something to die.
1842,kill,kɪl,noun,none,"an animal or bird that has been hunted and killed, or the action of killing."
1843,killing,ˈkɪl.ɪŋ,noun,B1,an occasion when a person is murdered.
1844,killing,ˈkɪl.ɪŋ,adjective,none,making you feel extremely tired.
1845,kilometre,ˈkɪl.əˌmiː.tər,noun,A2,"a unit of measurement equal to 1,000 metres."
1846,kind,kaɪnd,adjective,A2,"generous, helpful, and thinking about other people's feelings."
1847,kind,kaɪnd,noun,A1,"a group with similar characteristics, or a particular type."
1848,king,kɪŋ,noun,A2,"(the title of) a male ruler of a country, who holds this position because of his royal birth."
1849,king,kɪŋ,adjective,none,used as part of the name of something that is larger than the ordinary type.
1850,kiss,kɪs,verb,A2,"to touch with your lips, especially as a greeting, or to press your mouth onto another person's mouth in a sexual way."
1851,kiss,kɪs,noun,A2,an act of kissing someone.
1852,kitchen,ˈkɪtʃ.ən,noun,A1,"a room where food is kept, prepared, and cooked and where the dishes are washed."
1853,knee,niː,noun,B1,the middle joint of the leg that allows the leg to bend.
1854,knee,niː,verb,none,to hit someone with your knee.
1855,knife,naɪf,noun,A1,"a tool, usually with a metal blade and a handle, used for cutting and spreading food or other substances, or as a weapon."
1856,knife,naɪf,verb,none,to attack someone using a knife.
1857,knock,nɒk,verb,B1,"to repeatedly hit something, producing a noise."
1858,knock,nɒk,noun,none,a sudden short noise made when someone or something hits a surface.
1859,know,nəʊ,verb,A1,to have information in your mind.
1860,know,nəʊ,noun,none,to have knowledge about something that most people do not have.
1861,knowledge,ˈnɒl.ɪdʒ,noun,B1,"understanding of or information about a subject that you get by experience or study, either known by one person or by people generally."
1862,lab,læb,noun,B1,"a 
laboratory ."
1863,label,ˈleɪ.bəl,noun,B1,a piece of paper or other material that gives you information about the object it is attached to.
1864,label,ˈleɪ.bəl,verb,C1,to fasten a label to.
1865,laboratory,ləˈbɒr.ə.tər.i,noun,B1,"a room or building with scientific equipment for doing scientific tests or for teaching science, or a place where chemicals or medicines are produced."
1866,labour,ˈleɪ.bər,noun,C1,"practical work, especially when it involves hard physical effort."
1867,labour,ˈleɪ.bər,verb,none,to do hard physical work.
1868,lack,læk,noun,B1,the fact that something is not available or that there is not enough of it.
1869,lack,læk,verb,B2,to not have or not have enough of something that is needed or wanted.
1870,lady,ˈleɪ.di,noun,B1,a polite or old-fashioned way of referring to or talking to a woman.
1871,lake,leɪk,noun,A2,a large area of water surrounded by land and not connected to the sea except by rivers or streams.
1872,lamp,læmp,noun,A2,"a device for giving light, especially one that has a covering or is contained within something."
1873,lamp,læmp,verb,none,to punch someone (= hit them with your closed hand) hard.
1874,land,lænd,noun,B2,the surface of the earth that is not covered by water.
1875,land,lænd,verb,B1,to (cause to) arrive on the ground or other surface after moving down through the air.
1876,landscape,ˈlænd.skeɪp,noun,B1,"a large area of land, especially in relation to its appearance."
1877,landscape,ˈlænd.skeɪp,verb,none,"to make a garden, park, or other area of land more attractive by adding different features, plants, etc.."
1878,landscape,ˈlænd.skeɪp,adjective,none,A landscape document is to be printed with the longer side of the paper at the top and bottom..
1879,language,ˈlæŋ.ɡwɪdʒ,noun,A1,"a system of communication consisting of sounds, words, and grammar."
1880,laptop,ˈlæp.tɒp,noun,A2,a computer that is small enough to be carried around easily and is flat when closed.
1881,large,lɑːdʒ,adjective,A2,big in size or amount.
1882,large,lɑːdʒ,verb,none,enjoying yourself very much by dancing and drinking alcohol.
1883,largely,ˈlɑːdʒ.li,adverb,B2,almost completely.
1884,last,lɑːst,adjective,A2,(the person or thing) after everyone or everything else.
1885,last,lɑːst,adjective,B1,(being) the only one or part that is left.
1886,last,lɑːst,adjective,A1,(being) the most recent or the one before the present one.
1887,last,lɑːst,verb,B1,to continue to exist.
1888,late,leɪt,adjective,A1,(happening or being) near the end of a period of time.
1889,late,leɪt,adjective,C2,used to refer to someone who has died.
1890,later,ˈleɪ.tər,adverb,A2,at a time in the future or after the time you have mentioned.
1891,later,ˈleɪ.tər,adjective,B2,"happening at a time in the future, or after the time you have mentioned."
1892,later,ˈleɪ.tər,exclamation,none,a way of saying goodbye.
1893,latest,ˈleɪ.tɪst,adjective,A2,newest or most recent or modern.
1894,latest,ˈleɪ.tɪst,noun,none,the most recent news or technical development.
1895,laugh,lɑːf,verb,A2,to smile while making sounds with your voice that show you think something is funny or you are happy.
1896,laugh,lɑːf,noun,B1,the act or sound of laughing.
1897,laughter,ˈlɑːf.tər,noun,none,the act or sound of laughing.
1898,launch,lɔːntʃ,noun,C1,an event to celebrate or introduce something new.
1899,launch,lɔːntʃ,verb,B2,to begin something such as a plan or introduce something new such as a product.
1900,law,lɔː,noun,B1,"a rule, usually made by a government, that is used to order the way in which a society behaves."
1901,lawyer,ˈlɔɪ.ər,noun,B1,someone whose job is to give advice to people about the law and speak for them in court.
1902,lay,leɪ,verb,C1,"to put something in especially a flat or horizontal position, usually carefully or for a particular purpose."
1903,lay,leɪ,adjective,none,not trained in or not having a detailed knowledge of a particular subject.
1904,lay,leɪ,noun,none,"used to describe how good someone is at sex, or how often they have sex."
1905,layer,ˈleɪ.ər,noun,B2,"a level of material, such as a type of rock or gas, that is different from the material above or below it, or a thin sheet of a substance."
1906,layer,ˈleɪ.ər,verb,none,to arrange something in layers.
1907,lazy,ˈleɪ.zi,adjective,A2,not willing to work or use any effort.
1908,lead,liːd,verb,B2,"to control a group of people, a country, or a situation."
1909,lead,liːd,noun,B2,a winning position during a race or other situation where people are competing.
1910,lead,liːd,adjective,B1,used to describe the main performer or part in a performance.
1911,leader,ˈliː.dər,noun,B1,"a person in control of a group, country, or situation."
1912,leadership,ˈliː.də.ʃɪp,noun,C1,the set of characteristics that make a good leader.
1913,leading,ˈliː.dɪŋ,adjective,B2,very important or most important.
1914,leaf,liːf,noun,B1,"one of the flat, usually green parts of a plant that are joined at one end to the stem or branch."
1915,league,liːɡ,noun,B1,a group of teams playing a sport who take part in competitions between each other.
1916,lean,liːn,verb,B2,"to (cause to) slope in one direction, or to move the top part of the body in a particular direction."
1917,lean,liːn,adjective,none,Lean meat has little fat..
1918,learn,lɜːn,verb,A1,to get knowledge or skill in a new subject or activity.
1919,learning,ˈlɜː.nɪŋ,noun,B2,the activity of obtaining knowledge.
1920,least,liːst,adverb,B1,less than anything or anyone else; the smallest amount or number.
1921,leather,ˈleð.ər,noun,A2,"animal skin treated in order to preserve it, and used to make shoes, bags, clothes, equipment, etc.."
1922,leave,liːv,verb,A1,"to go away from someone or something, for a short time or permanently."
1923,leave,liːv,noun,C2,time allowed away from work for a holiday or illness.
1924,lecture,ˈlek.tʃər,noun,B1,"a formal talk on a serious subject given to a group of people, especially students."
1925,lecture,ˈlek.tʃər,verb,C2,"to give a formal talk to a group of people, often at a college or university."
1926,left,left,adjective,A2,on or towards the side of your body that is to the west when you are facing north.
1927,left,left,noun,A2,the left side.
1928,left,left,verb,none,"past simple and past participle of
leave ."
1929,left,left,adjective,none,relating to political groups that believe wealth and power should be shared between all parts of society.
1930,leg,leɡ,noun,A1,one of the parts of the body of a human or animal that is used for standing or walking.
1931,leg,leɡ,verb,none,to run away especially in order to escape from something.
1932,legal,ˈliː.ɡəl,adjective,B2,connected with the law.
1933,leisure,ˈleʒ.ər,noun,B1,the time when you are not working or doing other duties.
1934,lemon,ˈlem.ən,noun,A2,"an oval fruit that has a thick, yellow skin and sour juice, or the small tree on which this fruit grows."
1935,lemon,ˈlem.ən,adjective,none,of a pale yellow colour.
1936,lend,lend,verb,A2,"to give something to someone for a short period of time, expecting it to be given back."
1937,length,leŋθ,noun,B1,the measurement of something from end to end or along its longest side.
1938,less,les,determiner,A2,"a smaller amount (of), or to a smaller degree."
1939,less,les,preposition,none,"→ 
minus ."
1940,lesson,ˈles.ən,noun,A1,a period of time in which a person is taught about a subject or how to do something.
1941,let,let,verb,B1,to allow something to happen or someone to do something by not doing anything to stop an action or by giving your permission.
1942,let,let,adverb,C1,used after a negative statement to emphasize how unlikely a situation is because something much more likely has never happened.
1943,let,let,noun,none,"(in tennis or similar games) a situation in which the ball touches the net as it crosses it, so that you have to play the point again."
1944,letter,ˈlet.ər,noun,A1,"a written message from one person to another, usually put in an envelope and sent by post."
1945,letter,ˈlet.ər,adjective,none,"used to refer to a standard size of paper in the US, 8.5 inches by 11 inches."
1946,letter,ˈlet.ər,verb,none,"If a student letters in a particular sport, they are given a prize for achievement in sport in the shape of the first letter of the name of their high school or university, which is often worn on a special jacket or sweater."
1947,level,ˈlev.əl,noun,B2,the height of something.
1948,level,ˈlev.əl,adjective,none,at the same height.
1949,level,ˈlev.əl,verb,none,to make a surface flat.
1950,library,ˈlaɪ.brər.i,noun,A2,"a building, room, or organization that has a collection of books, documents, music, and sometimes things such as tools or artwork, for people to borrow, usually without payment."
1951,licence,ˈlaɪ.səns,noun,A2,"an official document that gives you permission to own, do, or use something, usually after you have paid money and/or taken a test."
1952,licence,ˈlaɪ.səns,verb,none,"another spelling of 
license ."
1953,lie,laɪ,verb,A2,to be in or move into a horizontal position on a surface.
1954,lie,laɪ,noun,B1,something you say that you know is not true.
1955,life,laɪf,noun,A1,"the period between birth and death, or the experience or state of being alive."
1956,lifestyle,ˈlaɪf.staɪl,noun,B2,someone's way of living; the things that a person or particular group of people usually do.
1957,lift,lɪft,verb,B1,to move something from a lower to a higher position.
1958,lift,lɪft,noun,A2,"a device like a box that moves up and down, carrying people or goods from one floor of a building to another or taking people up and down underground in a mine."
1959,light,laɪt,noun,B1,"the brightness that comes from the sun, fire, etc. and from electrical devices, and that allows things to be seen."
1960,light,laɪt,adjective,A2,not weighing a lot.
1961,light,laɪt,verb,B1,to start to burn or to make something start to burn.
1962,like,laɪk,verb,A1,to enjoy or approve of something or someone.
1963,like,laɪk,preposition,A2,similar to; in the same way or manner as.
1964,like,laɪk,preposition,B2,typical or characteristic of.
1965,like,laɪk,adverb,none,used before you describe how you were feeling or what you said when something happened to you.
1966,like,laɪk,noun,none,"a person, thing, or group similar in character or quality to the one mentioned."
1967,like,laɪk,adjective,none,"similar to, or the same as, something else."
1968,likely,ˈlaɪ.kli,adjective,B1,"If something is likely, it will probably happen or is expected."
1969,likely,ˈlaɪ.kli,adverb,none,probably.
1970,limit,ˈlɪm.ɪt,noun,B1,"the greatest amount, number, or level of something that is either possible or allowed."
1971,limit,ˈlɪm.ɪt,verb,B2,"to control something so that it is not greater than a particular amount, number, or level."
1972,limited,ˈlɪm.ɪ.tɪd,adjective,B1,small in amount or number.
1973,line,laɪn,noun,A2,"a long, thin mark on the surface of something."
1974,line,laɪn,verb,C2,to form a row along the side of something.
1975,link,lɪŋk,noun,B2,"a connection between two people, things, or ideas."
1976,link,lɪŋk,verb,B2,"to make a connection between two or more people, things, or ideas."
1977,lion,ˈlaɪ.ən,noun,A2,a large wild animal of the cat family with yellowish-brown fur that lives in Africa and southern Asia.
1978,lip,lɪp,noun,B1,one of the two soft parts that form the upper and lower edges of the mouth.
1979,liquid,ˈlɪk.wɪd,noun,none,"a substance, such as water, that is not solid or a gas and that can be poured easily."
1980,liquid,ˈlɪk.wɪd,adjective,none,in the form of a liquid.
1981,list,lɪst,noun,A2,"a record of short pieces of information, such as people's names, usually written or printed with a single thing on each line and often ordered in a way that makes a particular thing easy to find."
1982,list,lɪst,verb,B2,"to make a list, or to include something in a list."
1983,listen,ˈlɪs.ən,verb,A1,"to give attention to someone or something in order to hear him, her, or it."
1984,listen,ˈlɪs.ən,noun,A1,the act of listening to something.
1985,listener,ˈlɪs.ən.ər,noun,C1,someone who listens.
1986,literature,ˈlɪt.rə.tʃər,noun,B1,"written artistic works, especially those with a high and lasting artistic value."
1987,little,ˈlɪt.əl,adjective,A1,small in size or amount.
1988,little,ˈlɪt.əl,determiner,B1,not much or enough.
1989,little,ˈlɪt.əl,pronoun,B1,a small amount.
1990,little,ˈlɪt.əl,adverb,A2,slightly.
1991,live,lɪv,verb,B1,(to continue) to be alive or have life.
1992,live,laɪv,adjective,none,having life.
1993,live,laɪv,adverb,none,broadcast as it happens; performing or being performed in front of an audience.
1994,lively,ˈlaɪv.li,adjective,B1,full of energy and enthusiasm; interesting and exciting .
1995,living,ˈlɪv.ɪŋ,adjective,B2,alive now.
1996,living,ˈlɪv.ɪŋ,noun,B2,the money that you earn from your job.
1997,load,ləʊd,noun,B2,"the amount of weight carried, especially by a vehicle, a structure such as a bridge, or an animal."
1998,load,ləʊd,verb,B2,to put a lot of things into a vehicle or machine.
1999,loan,ləʊn,noun,B1,"an amount of money that is borrowed, often from a bank, and has to be paid back, usually together with an extra amount of money that you have to pay as a charge for borrowing."
2000,loan,ləʊn,verb,none,to lend.
2001,local,ˈləʊ.kəl,adjective,B1,"from, existing in, serving, or responsible for a small area, especially of a country."
2002,local,ˈləʊ.kəl,noun,C2,a person who lives in the particular small area that you are talking about.
2003,locate,ləʊˈkeɪt,verb,B1,to be in a particular place.
2004,location,ləʊˈkeɪ.ʃən,noun,B1,a place or position.
2005,lock,lɒk,noun,B1,a device that prevents something such as a door from being opened and can only be opened with a key.
2006,lock,lɒk,verb,B2,to put something in a safe place and fasten the lock.
2007,logical,ˈlɒdʒ.ɪ.kəl,adjective,B2,using reason.
2008,lonely,ˈləʊn.li,adjective,B1,unhappy because you are not with other people.
2009,long,lɒŋ,adjective,A1,continuing for a large amount of time.
2010,long,lɒŋ,adverb,A2,"used to mean ""(for) a long time"", especially in questions and negative sentences."
2011,long,lɒŋ,verb,C2,to want something very much.
2012,long,lɒŋ,noun,none,"written abbreviation for
longitude ."
2013,long-term,ˌlɒŋˈtɜːm,adjective,B2,continuing a long time into the future.
2014,look,lʊk,verb,A1,to direct your eyes in order to see.
2015,look,lʊk,noun,B1,the act of looking at someone or something.
2016,look,lʊk,exclamation,none,used to express anger.
2017,loose,luːs,adjective,B2,not firmly held or fastened in place.
2018,loose,luːs,verb,none,"to speak or express emotions very freely, especially in an uncontrolled way."
2019,lord,lɔːd,noun,none,a male peer.
2020,lord,lɔːd,verb,none,to behave as if you are better than someone and have the right to tell them what to do.
2021,lorry,ˈlɒr.i,noun,B1,"a 
truck ."
2022,lose,luːz,verb,A2,to no longer have something because you do not know where it is.
2023,loss,lɒs,noun,B2,the fact that you no longer have something or have less of something.
2024,lost,lɒst,adjective,A2,not knowing where you are and how to get to a place.
2025,lot,lɒt,noun,A1,lots (of) a large amount or number of people or things.
2026,lot,lɒt,noun,none,a group of people.
2027,loud,laʊd,adjective,A2,making a lot of noise.
2028,loud,laʊd,adjective,none,"(of clothes) having unpleasantly bright colours or too strong patterns, or (of a person) demanding attention and talking and laughing loudly."
2029,loudly,ˈlaʊd.li,adverb,B1,making a lot of noise.
2030,love,lʌv,verb,A1,"to like another adult very much and be romantically and sexually attracted to them, or to have strong feelings of liking a friend or person in your family."
2031,love,lʌv,noun,B1,"the feeling of liking another adult very much and being romantically and sexually attracted to them, or strong feelings of liking a friend or person in your family."
2032,lovely,ˈlʌv.li,adjective,A2,pleasant or enjoyable.
2033,lovely,ˈlʌv.li,noun,none,a sexually attractive woman.
2034,low,ləʊ,adjective,B1,not measuring much from the base to the top.
2035,low,ləʊ,adverb,B1,close to the ground or the bottom of something.
2036,low,ləʊ,verb,none,"to make the deep, long sound of a cow."
2037,low,ləʊ,noun,none,a bad time in someone's life.
2038,lower,ˈləʊ.ər,verb,B2,to move something into a low position.
2039,lower,ˈləʊ.ər,adjective,none,"positioned below one or more similar things, or of the bottom part of something."
2040,luck,lʌk,noun,A2,"the force that causes things, especially good things, to happen to you by chance and not as a result of your own efforts or abilities."
2041,lucky,ˈlʌk.i,adjective,A2,having good things happen to you by chance.
2042,lunch,lʌntʃ,noun,A1,a meal that is eaten in the middle of the day.
2043,lunch,lʌntʃ,verb,none,to eat lunch.
2044,lung,lʌŋ,noun,B2,either of the two organs in the chest with which people and some animals breathe.
2045,luxury,ˈlʌk.ʃər.i,noun,B1,"great comfort, especially as provided by expensive and beautiful things."
2046,machine,məˈʃiːn,noun,A2,a piece of equipment with several moving parts that uses power to do a particular type of work.
2047,machine,məˈʃiːn,verb,none,to sew cloth with a sewing machine.
2048,mad,mæd,adjective,B1,"a word to describe a person who has a mental illness, which was used by doctors in the past but is now offensive."
2049,magazine,ˌmæɡ.əˈziːn,noun,A2,a type of thin book with large pages and a paper cover that contains articles and photographs and is published every week or month.
2050,magic,ˈmædʒ.ɪk,noun,A2,"the use of special powers to make things happen that would usually be impossible, such as in stories for children."
2051,magic,ˈmædʒ.ɪk,adjective,A2,with special powers.
2052,magic,ˈmædʒ.ɪk,exclamation,none,used when you think something is very good and you like it a lot.
2053,mail,meɪl,noun,A2,"the letters, etc. that are sent to or from people, or the system for sending letters, etc. from place to place."
2054,mail,meɪl,verb,none,"to send a letter, etc. or to email something."
2055,main,meɪn,adjective,B1,"larger, more important, or having more influence than others of the same type."
2056,main,meɪn,noun,none,"a large pipe that carries water or gas, or a wire carrying electricity, from one place to another, to which a house can be connected."
2057,mainly,ˈmeɪn.li,adverb,B1,usually or to a large degree.
2058,maintain,meɪnˈteɪn,verb,B2,"to continue to have; to keep in existence, or not allow to become less."
2059,major,ˈmeɪ.dʒər,adjective,B2,"more important, bigger, or more serious than others of the same type."
2060,major,ˈmeɪ.dʒər,noun,none,"an officer of middle rank in the British, US, and many other armed forces."
2061,major,ˈmeɪ.dʒər,verb,B2,to study something as your main subject at college or university.
2062,majority,məˈdʒɒr.ə.ti,noun,B2,the larger number or part of something.
2063,make,meɪk,verb,A1,"to produce something, often using a particular substance or material."
2064,make,meɪk,noun,none,a type of product or the name of the company that made it.
2065,male,meɪl,adjective,none,belonging or relating to men.
2066,male,meɪl,noun,B2,"a boy, man, or male animal."
2067,mall,mɔːl,noun,B1,"a large, usually covered, shopping area where cars are not allowed."
2068,man,mæn,noun,A1,an adult male human being.
2069,man,mæn,verb,none,To man something such as a machine or vehicle is to be present in order to operate it.
2070,man,mæn,exclamation,none,used to express a strong emotion.
2071,manage,ˈmæn.ɪdʒ,verb,B1,"to succeed in doing or dealing with something, especially something difficult."
2072,management,ˈmæn.ɪdʒ.mənt,noun,B2,the control and organization of something.
2073,manager,ˈmæn.ɪ.dʒər,noun,A2,the person who is responsible for managing an organization.
2074,manner,ˈmæn.ər,noun,B2,the way in which something is done.
2075,many,ˈmen.i,determiner,A1,"used mainly in negative sentences and questions and with ""too"", ""so"", and ""as"" to mean ""a large number of""."
2076,map,mæp,noun,A2,"a drawing of the earth's surface, or part of that surface, showing the shape and position of different countries, political borders, natural features such as rivers and mountains, and artificial features such as roads and buildings."
2077,map,mæp,verb,none,to represent an area of land in the form of a map.
2078,march,mɑːtʃ,noun,C1,"an event in which a large number of people walk through a public place to express their support for something, or their disagreement with or disapproval of something."
2079,march,mɑːtʃ,verb,C2,"to walk somewhere quickly and in a determined way, often because you are angry."
2080,mark,mɑːk,noun,B2,"a small area on the surface of something that is damaged, dirty, or different in some way."
2081,mark,mɑːk,verb,B2,to correct mistakes in and give points for a piece of work.
2082,market,ˈmɑː.kɪt,noun,C1,"the people who might want to buy something, or a part of the world where something is sold."
2083,market,ˈmɑː.kɪt,adjective,none,usual for a particular market (= the business or trade in a particular product or service).
2084,market,ˈmɑː.kɪt,verb,none,"to make goods available to buyers in a planned way that encourages people to buy more of them, for example by advertising."
2085,marketing,ˈmɑː.kɪ.tɪŋ,noun,B2,a job that involves encouraging people to buy a product or service.
2086,marriage,ˈmær.ɪdʒ,noun,B1,"a legally accepted relationship between two people in which they live together, or the official ceremony that results in this."
2087,married,ˈmær.id,adjective,A2,having a wife or husband.
2088,marry,ˈmær.i,verb,B1,to become the legally accepted husband or wife of someone in an official or religious ceremony.
2089,marry,ˈmær.i,exclamation,none,"used for emphasis or to express an emotion, such as surprise or anger."
2090,mass,mæs,adjective,C1,having an effect on or involving a large number of people or forming a large amount.
2091,mass,mæs,noun,B2,a large amount of something that has no particular shape or arrangement.
2092,mass,mæs,verb,none,to come together in large numbers.
2093,massive,ˈmæs.ɪv,adjective,B2,"very large in size, amount, or number."
2094,master,ˈmɑː.stər,noun,B2,"the person who owns, cares for, and controls an animal."
2095,master,ˈmɑː.stər,verb,none,to learn to control an emotion or feeling.
2096,master,ˈmɑː.stər,adjective,none,extremely skilled.
2097,match,mætʃ,noun,A2,a sports competition or event in which two people or teams compete against each other.
2098,match,mætʃ,verb,C1,to be as good as someone or something else.
2099,matching,ˈmætʃ.ɪŋ,adjective,none,having the same colour or pattern as something else.
2100,material,məˈtɪə.ri.əl,noun,B2,a physical substance that things can be made from.
2101,material,məˈtɪə.ri.əl,adjective,none,relating to physical objects or money rather than emotions or the spiritual world.
2102,mathematics,ˌmæθˈmæt.ɪks,noun,A2,"the study of numbers, shapes, and space using reason and usually a special system of symbols and rules for organizing them."
2103,maths,mæθs,noun,none,"the study of numbers, shapes, and space using reason and usually a special system of symbols and rules for organizing them."
2104,matter,ˈmæt.ər,noun,B2,a situation or subject that is being dealt with or considered.
2105,matter,ˈmæt.ər,verb,B2,"to be important, or to affect what happens."
2106,maximum,ˈmæk.sɪ.məm,adjective,B1,being the largest amount or number allowed or possible.
2107,maximum,ˈmæk.sɪ.məm,noun,B1,the largest amount allowed or possible.
2108,may,meɪ,modal verb,A2,used to express possibility.
2109,may,meɪ,noun,none,the flowers of the hawthorn tree.
2110,maybe,ˈmeɪ.bi,adverb,A2,used to show that something is possible or that something might be true.
2111,me,miː,pronoun,A1,"used, usually as the object of a verb or preposition, to refer to the person speaking or writing."
2112,me,miː,noun,none,"the musical note 
mi ."
2113,meal,mɪəl,noun,A1,"an occasion when food is eaten, or the food that is eaten on such an occasion."
2114,mean,miːn,verb,A2,"to express or represent something such as an idea, thought, or fact."
2115,mean,miːn,adjective,B2,"not willing to give or share things, especially money."
2116,mean,miːn,noun,none,the result you get by adding two or more amounts together and dividing the total by the number of amounts.
2117,meaning,ˈmiː.nɪŋ,noun,B1,The meaning of something is what it expresses or represents.
2118,means,miːnz,noun,B2,a method or way of doing something.
2119,meanwhile,ˈmiːn.waɪl,adverb,B1,"until something expected happens, or while something else is happening."
2120,measure,ˈmeʒ.ər,verb,B2,to discover the exact size or amount of something.
2121,measure,ˈmeʒ.ər,noun,B2,"a way of achieving something, or a method for dealing with a situation."
2122,measurement,ˈmeʒ.ə.mənt,noun,C2,the act or process of measuring.
2123,meat,miːt,noun,A1,the flesh of an animal when it is used for food.
2124,media,ˈmiː.di.ə,noun,none,"the internet, newspapers, magazines, television, etc., considered as a group."
2125,medical,ˈmed.ɪ.kəl,adjective,B2,related to the treatment of illness and injuries.
2126,medical,ˈmed.ɪ.kəl,noun,none,"an examination of a person's body by a doctor in order to discover if that person is healthy, sometimes done before a person can be accepted for a particular job."
2127,medicine,ˈmed.ɪ.sən,noun,B1,"treatment for illness or injury, or the study of this."
2128,medium,ˈmiː.di.əm,adjective,B1,"being in the middle between an upper and lower amount, size, degree, or value."
2129,medium,ˈmiː.di.əm,noun,C2,a method or way of expressing something.
2130,meet,miːt,verb,A1,to see and talk to someone for the first time.
2131,meet,miːt,noun,none,"a sports event in which people compete against each other, for example in swimming or running."
2132,meeting,ˈmiː.tɪŋ,noun,A2,"a planned occasion when people come together, either in person or online (= using the internet), to discuss something."
2133,melt,melt,verb,B2,"to turn from something solid into something soft or liquid, or to cause something to do this."
2134,melt,melt,noun,none,a sandwich containing melted cheese.
2135,member,ˈmem.bər,noun,A2,"a person, animal, or thing that is part of a group."
2136,memory,ˈmem.ər.i,noun,B1,"the ability to remember information, experiences, and people."
2137,mental,ˈmen.təl,adjective,B2,"relating to the mind, or involving the process of thinking."
2138,mention,ˈmen.ʃən,verb,B1,"to speak about something quickly, giving little detail or using few words."
2139,mention,ˈmen.ʃən,noun,B2,a short remark or written statement.
2140,menu,ˈmen.juː,noun,A2,a list of the food that you can eat in a restaurant.
2141,mess,mes,noun,B1,Mess or a mess is something or someone that looks dirty or untidy.
2142,mess,mes,verb,none,to make something untidy.
2143,message,ˈmes.ɪdʒ,noun,A1,a short piece of information that you give to a person when you cannot speak to them directly.
2144,message,ˈmes.ɪdʒ,verb,none,to send someone a short message using a mobile phone or computer.
2145,metal,ˈmet.əl,noun,B1,"a chemical element, such as iron or gold, or a mixture of such elements, such as steel, that is generally hard and strong, and through which electricity and heat can travel."
2146,method,ˈmeθ.əd,noun,B1,a particular way of doing something.
2147,metre,ˈmiː.tər,noun,A2,a unit of measurement equal to 100 centimetres.
2148,middle,ˈmɪd.əl,noun,A2,"the central point, position, or part."
2149,middle,ˈmɪd.əl,adjective,B2,in a central position.
2150,midnight,ˈmɪd.naɪt,noun,A2,twelve o'clock in the middle of the night.
2151,might,maɪt,modal verb,none,"past simple of the verb may, used especially when reporting what someone has said, thought, asked, etc.."
2152,might,maɪt,noun,none,"power, strength, or force."
2153,mild,maɪld,adjective,C1,"not violent, severe, or extreme."
2154,mild,maɪld,noun,none,a dark beer that does not have a very strong or bitter taste.
2155,mile,maɪl,noun,B1,"a unit of distance equal to 1,760 yards or 1.6 kilometres."
2156,military,ˈmɪl.ɪ.tər.i,adjective,B2,relating to or belonging to the armed forces.
2157,military,ˈmɪl.ɪ.tər.i,noun,C1,the armed forces.
2158,milk,mɪlk,noun,A1,"the white liquid produced by cows, goats, and sheep and used by humans as a drink or for making butter, cheese, etc.."
2159,milk,mɪlk,verb,none,to get milk from an animal.
2160,own,əʊn,determiner,A2,belonging to or done by a particular person or thing.
2161,own,əʊn,verb,B1,to have something that legally belongs to you.
2162,owner,ˈəʊ.nər,noun,B1,someone who owns something.
2163,pace,peɪs,noun,B2,"the speed at which someone or something moves, or with which something happens or changes."
2164,pace,peɪs,verb,none,"to get someone to run a race at a particular speed, for example by running with them."
2165,pack,pæk,verb,A2,"to put something into a bag, box, etc.."
2166,pack,pæk,noun,B2,"a group, set, or collection of something."
